hand,22o,32o,32s,33o,42o,42s,43o,43s,44o,52o,52s,53o,53s,54o,54s,55o,62o,62s,63o,63s,64o,64s,65o,65s,66o,72o,72s,73o,73s,74o,74s,75o,75s,76o,76s,77o,82o,82s,83o,83s,84o,84s,85o,85s,86o,86s,87o,87s,88o,92o,92s,93o,93s,94o,94s,95o,95s,96o,96s,97o,97s,98o,98s,99o,A2o,A2s,A3o,A3s,A4o,A4s,A5o,A5s,A6o,A6s,A7o,A7s,A8o,A8s,A9o,A9s,AAo,AJo,AJs,AKo,AKs,AQo,AQs,ATo,ATs,J2o,J2s,J3o,J3s,J4o,J4s,J5o,J5s,J6o,J6s,J7o,J7s,J8o,J8s,J9o,J9s,JJo,JTo,JTs,K2o,K2s,K3o,K3s,K4o,K4s,K5o,K5s,K6o,K6s,K7o,K7s,K8o,K8s,K9o,K9s,KJo,KJs,KKo,KQo,KQs,KTo,KTs,Q2o,Q2s,Q3o,Q3s,Q4o,Q4s,Q5o,Q5s,Q6o,Q6s,Q7o,Q7s,Q8o,Q8s,Q9o,Q9s,QJo,QJs,QQo,QTo,QTs,T2o,T2s,T3o,T3s,T4o,T4s,T5o,T5s,T6o,T6s,T7o,T7s,T8o,T8s,T9o,T9s,TTo
22o,1.0000001,0.644128,0.6503089,0.99402267,0.6576331,0.66666144,0.7201131,0.71909016,0.9739121,0.6417117,0.6610877,0.7147349,0.71255517,0.7669076,0.7497921,0.9382634,0.548374,0.5555098,0.65053475,0.6899035,0.7106609,0.71237963,0.7194126,0.685884,0.8998079,0.35722435,0.37484598,0.4699437,0.49843258,0.5701289,0.6232003,0.6074956,0.6223214,0.5680134,0.55769557,0.8106965,0.23856367,0.2734082,0.31296995,0.34379262,0.38927394,0.42907926,0.43559423,0.49560276,0.4633158,0.48145574,0.41282335,0.40704316,0.78157693,0.10645425,0.15294985,0.18702477,0.2361308,0.21136753,0.25524643,0.26987273,0.31161755,0.2905117,0.34187347,0.29378757,0.34702846,0.29835373,0.28825918,0.760026,-0.03167545,-0.020692062,-0.017465886,0.018625058,-0.012524335,0.014402632,0.02421475,0.04765346,0.08252838,0.102100834,0.1473049,0.17877795,0.19691214,0.21962488,0.25301233,0.286533,0.7181186,0.40071815,0.39581785,0.5420425,0.52293944,0.48703283,0.49353436,0.3416055,0.3618162,-0.26733178,-0.23245853,-0.23111203,-0.19713005,-0.1989617,-0.16329804,-0.19012788,-0.14392307,-0.14991325,-0.104970336,-0.086118795,-0.04292223,-0.010401344,-0.026139937,0.10457869,0.17775726,0.7398695,0.19976552,0.18806264,-0.35968223,-0.35318944,-0.33504516,-0.32890815,-0.31656352,-0.30371246,-0.3059567,-0.29073852,-0.24010724,-0.22774126,-0.16170451,-0.14879386,-0.09508477,-0.08501813,0.020893544,0.030257355,0.21768947,0.24541003,0.7188823,0.2592034,0.2640947,0.15201426,0.11992405,-0.3786322,-0.36436892,-0.34710312,-0.33750966,-0.31946775,-0.30865407,-0.31065747,-0.299919,-0.2450372,-0.23606989,-0.20166785,-0.18182388,-0.10558942,-0.08413307,-0.018467639,-0.04461816,0.16812757,0.15864624,0.7263299,0.13942333,0.1583359,-0.068698555,-0.03386873,-0.034043603,0.01225391,-0.010213055,0.031131282,-0.0064117163,0.04459644,0.056969166,0.10830958,0.08410114,0.11192398,0.16908196,0.23763871,0.20123008,0.22369976,0.7318496
32o,0.644128,1.0000002,0.9610367,0.60000193,0.99401915,0.94381434,0.98775166,0.9335143,0.5500405,0.9929698,0.9510641,0.97744393,0.9094454,0.94844115,0.8697466,0.49973348,0.9825221,0.95161295,0.98096424,0.93946797,0.9509004,0.87302583,0.91039765,0.8210117,0.44894394,0.9064764,0.8801794,0.9361701,0.9029418,0.93624324,0.88864934,0.8873992,0.8088823,0.8027881,0.7036647,0.36614954,0.81596065,0.7949981,0.83173406,0.8043995,0.8247199,0.7894133,0.78848076,0.7460396,0.7181359,0.6523696,0.6183399,0.54902667,0.336355,0.6843309,0.67386127,0.6964521,0.682818,0.6812511,0.66273534,0.6438017,0.6139589,0.5880268,0.53152454,0.5152363,0.50332904,0.44223085,0.39853016,0.30412805,-0.043712504,-0.019692563,-0.0667372,-0.016216751,-0.099247746,-0.10234333,-0.0897264,-0.088320136,-0.059361517,-0.064712554,-0.035802536,-0.025887404,-0.009172387,0.0017061875,0.023356626,0.04671448,0.32092285,0.12187096,0.13573514,0.19226465,0.18436511,0.1679069,0.1985792,0.06970917,0.09649173,0.12059805,0.07961808,0.07431061,0.027583078,0.045954525,-0.005814716,0.006069459,-0.024537645,-0.0078123473,-0.030374974,-0.037452795,-0.06550761,-0.09047525,-0.09827235,-0.09572692,-0.0073738135,0.25267202,-0.08009304,-0.0626601,-0.23928763,-0.2698421,-0.28370664,-0.32377875,-0.30245215,-0.34816423,-0.328489,-0.36429378,-0.3115295,-0.34275934,-0.30117267,-0.33246008,-0.27382848,-0.300531,-0.23552284,-0.24527285,-0.11469911,-0.06050209,0.2443351,-0.10315231,-0.09093448,-0.16746855,-0.18284906,-0.1265851,-0.14830588,-0.18032366,-0.21263131,-0.20709515,-0.25072548,-0.23251536,-0.2839766,-0.2147267,-0.2769643,-0.21939734,-0.28233513,-0.2324853,-0.27931812,-0.2270857,-0.26719332,-0.19091931,-0.18500271,0.23788363,-0.17401454,-0.12588812,0.44235107,0.41249204,0.41122037,0.37956932,0.38374934,0.33053172,0.3498216,0.30108517,0.3213937,0.27566063,0.2533243,0.21486673,0.24219245,0.29280573,0.17169595,0.18423064,0.26126948
32s,0.6503089,0.9610367,0.99999994,0.608979,0.953391,0.97291976,0.95621336,0.9856005,0.56233037,0.946243,0.9587468,0.94704765,0.95414305,0.9307945,0.94389266,0.5170922,0.94282526,0.97752804,0.9387169,0.95919925,0.9258373,0.93010515,0.9015591,0.90999156,0.47191107,0.87178046,0.906574,0.9068759,0.9505771,0.89806885,0.9248115,0.8757567,0.8861073,0.81404465,0.8129085,0.37701684,0.7840519,0.8269081,0.8050833,0.8477892,0.8016315,0.85293686,0.7691251,0.80645,0.72738945,0.7472403,0.64538354,0.670171,0.35100663,0.6457222,0.6989844,0.66174,0.72598696,0.64114904,0.70640916,0.61690557,0.6838563,0.5715397,0.6080013,0.527035,0.60558957,0.4697763,0.53083235,0.32454696,-0.09638162,-0.020390317,-0.11419051,-0.014533477,-0.14764558,-0.10100632,-0.1371718,-0.08769443,-0.11233251,-0.07623531,-0.09015972,-0.036057107,-0.061405502,-0.007657431,-0.027757227,0.04619829,0.38157365,0.090668336,0.16580114,0.19819286,0.24544427,0.15102473,0.24256101,0.029872542,0.11871706,0.08640499,0.11734408,0.044801354,0.082114175,0.016534798,0.057393804,-0.01711008,0.05560665,-0.03073065,0.052750707,-0.05324378,0.032636452,-0.10206918,-0.0071255565,-0.100442894,0.07907385,0.29080656,-0.07596648,0.069273934,-0.2632104,-0.2582404,-0.30498216,-0.30632865,-0.32363033,-0.3243138,-0.34786132,-0.33520108,-0.32905915,-0.31252918,-0.31851992,-0.29607147,-0.28741425,-0.26461735,-0.24239574,-0.20411663,-0.1176492,-0.003969867,0.29873922,-0.1051768,-0.030831136,-0.16919866,-0.12679726,-0.16002089,-0.11865467,-0.21368866,-0.17195876,-0.24065639,-0.20339376,-0.2630583,-0.2250098,-0.2476547,-0.21775775,-0.25201058,-0.23116872,-0.25384378,-0.22604236,-0.2348592,-0.2105381,-0.18813878,-0.09230336,0.28422487,-0.17883565,-0.05192268,0.41034994,0.45471632,0.3817832,0.4385711,0.35380766,0.39349243,0.32618237,0.3753535,0.31258428,0.3735506,0.25968102,0.33227074,0.25303468,0.41453528,0.19854897,0.3378308,0.2872776
33o,0.99402267,0.60000193,0.608979,0.99999994,0.6115259,0.61999565,0.6811226,0.6834921,0.9921855,0.6004568,0.62255484,0.67557347,0.67236614,0.7367091,0.7239187,0.9676917,0.51124406,0.5182524,0.6190258,0.66082776,0.68115205,0.6802267,0.701179,0.67143285,0.9373449,0.32995328,0.347036,0.4469852,0.47495148,0.55351007,0.6097888,0.5931136,0.6031554,0.56888205,0.5603282,0.85420996,0.22123858,0.25574553,0.3023187,0.33348337,0.38629302,0.42537275,0.441971,0.50652564,0.4705975,0.48226684,0.43267435,0.42420292,0.82204527,0.10109943,0.14749038,0.19106522,0.23987612,0.22108996,0.26509565,0.28816432,0.32890293,0.31742674,0.37407076,0.31814322,0.36195982,0.3296988,0.31629002,0.79652214,-0.06747128,-0.056518264,-0.048847143,-0.011531758,-0.041182064,-0.009620046,-0.0034891423,0.024861349,0.055439454,0.07980688,0.12284285,0.15830648,0.17311943,0.19968794,0.22965834,0.267106,0.7124888,0.3776384,0.3754182,0.5228995,0.5064847,0.46590215,0.47542888,0.32235506,0.34534538,-0.24039733,-0.20206109,-0.19243786,-0.1555568,-0.15384021,-0.11526424,-0.14181755,-0.09345133,-0.09924792,-0.051567324,-0.032627974,0.014072828,0.041068666,0.027411554,0.1546731,0.219508,0.76367307,0.25185034,0.24027452,-0.34663025,-0.33796972,-0.3183844,-0.30812818,-0.2963928,-0.27805322,-0.2848981,-0.26407674,-0.21595143,-0.19828099,-0.13438061,-0.11553948,-0.07065004,-0.053771697,0.04228738,0.05795638,0.23153336,0.2608701,0.7297989,0.27313635,0.28207165,0.16932122,0.14202611,-0.3503651,-0.3341145,-0.30990803,-0.2973575,-0.27508807,-0.2593412,-0.2632396,-0.24801499,-0.19520247,-0.18076557,-0.15082806,-0.12527335,-0.05484531,-0.028327245,0.028102994,0.0046758074,0.21388963,0.20886514,0.74549735,0.18444608,0.20041026,-0.055212393,-0.019732773,-0.009359382,0.037902668,0.02085004,0.06552951,0.028643534,0.081819974,0.096693486,0.14954603,0.13010645,0.15972036,0.20730774,0.26865837,0.24740198,0.26701003,0.76442057
42o,0.6576331,0.99401915,0.953391,0.6115259,1.0000001,0.961044,0.98441,0.9284858,0.5586188,0.9919326,0.95165247,0.9858928,0.9304522,0.9465935,0.8660752,0.5067338,0.97825783,0.9512012,0.9766977,0.9377442,0.9579827,0.8944035,0.90355927,0.8121809,0.4564427,0.8944332,0.87188035,0.92426354,0.89538074,0.92420965,0.87978715,0.8863389,0.8253089,0.7843122,0.68534184,0.38208702,0.80156404,0.78531456,0.8157445,0.7924041,0.80822957,0.7778193,0.76960725,0.7307581,0.71163416,0.66419816,0.5949687,0.5276608,0.3574012,0.66791,0.6626805,0.6783895,0.6698441,0.6629784,0.6486272,0.6251325,0.5995997,0.56599677,0.51346254,0.50449705,0.5088012,0.42089543,0.38065064,0.32876933,-0.005640721,0.017203663,-0.02496221,0.028126204,-0.056308176,-0.05762131,-0.046546288,-0.044726975,-0.015472926,-0.020576727,0.0097156335,0.02054963,0.037186254,0.04922355,0.06992947,0.094170645,0.35277486,0.16569437,0.18141377,0.2284023,0.21878323,0.20878685,0.24096338,0.1148124,0.14246027,0.1069735,0.07321935,0.05983451,0.021069504,0.030590758,-0.012299091,-0.0071928278,-0.028518341,-0.022693016,-0.036029764,-0.05017193,-0.06755115,-0.08827904,-0.09074047,-0.08156918,0.021590516,0.27940533,-0.06791191,-0.046390757,-0.23259372,-0.26111826,-0.27504227,-0.31341392,-0.29400468,-0.33789697,-0.31758535,-0.35206288,-0.3000907,-0.32927167,-0.2863334,-0.31562513,-0.25405616,-0.27976722,-0.20942146,-0.21892016,-0.082565114,-0.0266635,0.27002156,-0.07493891,-0.06630561,-0.13595606,-0.15031037,-0.1368421,-0.15342158,-0.1898301,-0.21683702,-0.21798608,-0.25695097,-0.24247919,-0.28814676,-0.22598921,-0.28208938,-0.23012733,-0.28371748,-0.23419231,-0.27137163,-0.21782064,-0.25007266,-0.17346674,-0.16750939,0.2626722,-0.15542817,-0.09998601,0.42582148,0.40224856,0.39235938,0.36827624,0.364877,0.31869447,0.3311196,0.28985745,0.30188537,0.26494825,0.23367168,0.20282286,0.24008787,0.30237615,0.1611964,0.17848629,0.28849775
42s,0.66666144,0.94381434,0.97291976,0.61999565,0.961044,1.0,0.941917,0.9612141,0.56712407,0.936345,0.94411653,0.9570939,0.98611367,0.91643864,0.9189631,0.5192139,0.9277389,0.9652281,0.9196384,0.93603855,0.93113256,0.9610611,0.8759613,0.87319136,0.47524062,0.8432127,0.8806866,0.8756321,0.92177165,0.8620066,0.88378876,0.8649406,0.9069891,0.7661998,0.7580744,0.4041192,0.7543489,0.80131394,0.7697451,0.8148415,0.7627051,0.817011,0.72162116,0.75378656,0.7085778,0.76196927,0.590968,0.6128166,0.39069122,0.61545235,0.67376,0.6254889,0.6931963,0.6032592,0.6696548,0.5768397,0.644247,0.5209743,0.55209905,0.50363594,0.6095352,0.423674,0.48212817,0.3729464,0.0070375297,0.07489565,-0.0048510386,0.09414727,-0.035269275,0.008743046,-0.024269048,0.020520914,0.001913989,0.033848915,0.026653271,0.0778502,0.055926394,0.107831,0.088753626,0.15979925,0.4479464,0.19610754,0.26939002,0.28233162,0.3204261,0.24657606,0.33519495,0.14022948,0.22534516,0.06938172,0.10802996,0.02437415,0.06938379,-0.0070634186,0.042404685,-0.035994694,0.043941088,-0.05259202,0.036235765,-0.07165583,0.02200389,-0.08973025,0.0019520558,-0.0636256,0.13785386,0.34390062,-0.04584454,0.09373995,-0.23079675,-0.22614089,-0.26835728,-0.27119675,-0.2874986,-0.28975394,-0.30637577,-0.29665077,-0.28731847,-0.27219474,-0.26976213,-0.24929647,-0.22903901,-0.20989376,-0.17210369,-0.13890047,-0.037936702,0.07193895,0.35103595,-0.03401141,0.025021136,-0.09034866,-0.05263268,-0.16764197,-0.12348035,-0.22030085,-0.17657673,-0.2513092,-0.21423595,-0.27233666,-0.23315313,-0.26041612,-0.22898357,-0.2634372,-0.2329559,-0.24771774,-0.20815545,-0.20669402,-0.17374156,-0.14406869,-0.05934289,0.3330958,-0.13276228,0.001331808,0.3831189,0.43332803,0.34819287,0.41188473,0.31892505,0.36401695,0.29183096,0.34685153,0.2757193,0.34311828,0.21896319,0.291093,0.25298008,0.42728758,0.17717719,0.31241947,0.3419513
43o,0.7201131,0.98775166,0.95621336,0.6811226,0.98441,0.941917,1.0000001,0.9549527,0.63641894,0.979447,0.93556064,0.993044,0.93213516,0.9855928,0.91473585,0.5893004,0.9575172,0.9292844,0.9846262,0.9415488,0.9797859,0.90900993,0.9547737,0.86997646,0.5390963,0.85444516,0.8300334,0.9176855,0.8891444,0.94003534,0.8908366,0.91737175,0.8452046,0.84291595,0.7530334,0.44204995,0.7517263,0.7344011,0.7945414,0.76993465,0.8111004,0.7853622,0.79490817,0.7518718,0.74829656,0.68639743,0.65262693,0.58988076,0.40539756,0.6067842,0.60039467,0.6489228,0.6406407,0.64185506,0.62779176,0.63123435,0.6109609,0.5912752,0.5397083,0.53723824,0.5355096,0.47296482,0.43465695,0.3675034,-0.107678,-0.08196262,-0.12311681,-0.07044934,-0.1490669,-0.14591087,-0.13343164,-0.1272693,-0.09627705,-0.09780671,-0.06300875,-0.048633594,-0.029427527,-0.015722886,0.009792785,0.03647172,0.35809442,0.11724068,0.13120636,0.19647932,0.19198841,0.172887,0.20585044,0.063817956,0.09361152,0.018796615,-0.016622923,-0.0071407966,-0.048598096,-0.026177514,-0.06977896,-0.055804297,-0.07714924,-0.061819408,-0.075568736,-0.07013638,-0.08695851,-0.10298682,-0.112183064,-0.09082013,-0.00226314,0.30290657,-0.0602246,-0.043144178,-0.34842694,-0.3760088,-0.38216338,-0.41808608,-0.39545256,-0.43510115,-0.41530144,-0.44564837,-0.3907723,-0.4164609,-0.3669798,-0.39124605,-0.33140945,-0.35108283,-0.2755322,-0.27988243,-0.1361891,-0.08001743,0.28419796,-0.11554585,-0.09821829,-0.19131522,-0.20638841,-0.23487337,-0.2542859,-0.2718659,-0.30187178,-0.2891134,-0.32851565,-0.3061123,-0.35216603,-0.27765253,-0.3347143,-0.27062693,-0.32636845,-0.2623542,-0.3026003,-0.24332468,-0.2827368,-0.18507652,-0.17484745,0.28636867,-0.1735464,-0.12755604,0.35358945,0.32767114,0.34534952,0.31706178,0.32702318,0.2793119,0.30210546,0.26106378,0.29546016,0.25898975,0.24803895,0.2173864,0.25891674,0.3167482,0.20150353,0.22064736,0.3163389
43s,0.71909016,0.9335143,0.9856005,0.6834921,0.9284858,0.9612141,0.9549527,1.0000001,0.64299184,0.9162443,0.9290578,0.949652,0.9698461,0.95714134,0.9852332,0.6021291,0.9019977,0.9437173,0.9275776,0.9489642,0.943354,0.9612652,0.93716323,0.95756257,0.5586184,0.8043379,0.8448195,0.87509876,0.92839134,0.88837326,0.91637003,0.89723355,0.9205789,0.848989,0.8647323,0.44957352,0.7057537,0.7561036,0.75589985,0.8055748,0.7775383,0.8444003,0.76651996,0.8062716,0.7535521,0.78325194,0.6780574,0.7163297,0.41705996,0.5547956,0.6158497,0.6030296,0.67730576,0.59062654,0.665375,0.5963047,0.6793305,0.5685568,0.61437553,0.5473991,0.6423951,0.5006875,0.5742894,0.3853679,-0.16721389,-0.08644433,-0.1766909,-0.07243483,-0.20288378,-0.14694205,-0.18592802,-0.12876007,-0.15471876,-0.112245016,-0.12281816,-0.061599717,-0.087039314,-0.027883578,-0.046801835,0.03346105,0.41724557,0.080091596,0.15904546,0.19755054,0.25216386,0.15017997,0.24780446,0.01851652,0.11422464,-0.02411551,0.017041154,-0.04316792,0.0046703443,-0.06156577,-0.006460771,-0.08334514,0.0050577596,-0.08877548,0.009867474,-0.08822201,0.016010951,-0.115265734,-0.016497537,-0.095102355,0.088905595,0.33873624,-0.05509874,0.09692358,-0.37855023,-0.36825496,-0.40848857,-0.40298986,-0.42126518,-0.41259554,-0.4386049,-0.4170436,-0.41221663,-0.38673922,-0.3877078,-0.35428184,-0.34813043,-0.3146137,-0.28472495,-0.23772448,-0.1423345,-0.023544375,0.33686966,-0.12065604,-0.0372011,-0.19545813,-0.14900541,-0.2755813,-0.22820646,-0.31095093,-0.26258194,-0.32781,-0.28146183,-0.3410074,-0.29207614,-0.31515726,-0.27444494,-0.30721992,-0.2736768,-0.2858744,-0.24663667,-0.25195286,-0.22299641,-0.18247497,-0.07686098,0.33069405,-0.17930132,-0.050554786,0.31068632,0.36350146,0.3071893,0.37243664,0.28894317,0.33986157,0.27185023,0.3348163,0.2825061,0.3593399,0.25259298,0.3389793,0.27020288,0.44534707,0.23042022,0.38406968,0.33993784
44o,0.9739121,0.5500405,0.56233037,0.9921855,0.5586188,0.56712407,0.63641894,0.64299184,1.0,0.5498254,0.5699445,0.6304757,0.6263852,0.7014942,0.6934152,0.99120164,0.4677859,0.47355694,0.5798496,0.6180862,0.647323,0.64339024,0.6810619,0.6547651,0.9721644,0.30112147,0.31569955,0.423602,0.44879967,0.5332255,0.5852357,0.58076787,0.5847099,0.57646114,0.56789947,0.90086627,0.20690103,0.2384637,0.29661077,0.3259015,0.38839313,0.42468694,0.45300004,0.51434267,0.48810858,0.4914788,0.46760255,0.45450285,0.86762154,0.102047876,0.14524639,0.20384209,0.24908449,0.2389285,0.27985656,0.31726605,0.3540369,0.35561612,0.41061357,0.36137512,0.39212358,0.38382724,0.36352405,0.8389963,-0.08977133,-0.08101975,-0.06689092,-0.03075203,-0.055492055,-0.021242836,-0.016335338,0.015375495,0.043148424,0.0711844,0.11359397,0.15167995,0.1644371,0.19393626,0.2205157,0.26091745,0.7065137,0.3627339,0.3618785,0.504861,0.4898647,0.44923,0.46001786,0.31483045,0.33967754,-0.20034274,-0.16355595,-0.13909088,-0.10513349,-0.09501224,-0.059373483,-0.077605434,-0.03362882,-0.031068191,0.011547513,0.042019304,0.08526724,0.11555028,0.09838851,0.2265408,0.27860832,0.79004484,0.32524157,0.3085916,-0.32120404,-0.31357068,-0.28818214,-0.27703914,-0.26258838,-0.24185605,-0.24936011,-0.22599657,-0.17789146,-0.15736759,-0.09196888,-0.06937846,-0.031082004,-0.008962672,0.07864311,0.09931234,0.2557203,0.28379813,0.7399042,0.2975986,0.30829376,0.19953868,0.17551969,-0.30886105,-0.295331,-0.2578097,-0.24681778,-0.21640156,-0.20016822,-0.19953646,-0.18448201,-0.12816173,-0.11311214,-0.08013355,-0.05284082,0.017618258,0.04591477,0.09664068,0.073245294,0.27888718,0.27434742,0.7663175,0.24775784,0.25724328,-0.030898668,0.00035694242,0.029118903,0.07121576,0.06529802,0.10733351,0.07903875,0.12885872,0.15554512,0.20308122,0.19791435,0.22136784,0.2718949,0.31914684,0.32136375,0.33112702,0.8024519
52o,0.6417117,0.9929698,0.946243,0.6004568,0.9919326,0.936345,0.979447,0.9162443,0.5498254,1.0,0.96681607,0.97374433,0.9003345,0.9387202,0.85151255,0.49760032,0.98577225,0.95098984,0.9870531,0.95516807,0.94672966,0.86199707,0.8979322,0.8003163,0.44641432,0.9082423,0.87923014,0.93233675,0.8955,0.9404674,0.9053196,0.8742127,0.79022557,0.77784216,0.6723233,0.3627526,0.81387705,0.7907196,0.8235951,0.79328555,0.8148479,0.7734935,0.78079766,0.751635,0.6930076,0.6236259,0.5831299,0.5088784,0.33158922,0.68342656,0.67125803,0.6892415,0.6724694,0.6769378,0.65465295,0.6315081,0.59498155,0.5757409,0.5293902,0.48285443,0.4665951,0.4017148,0.35798955,0.29821184,-0.056194786,-0.031979803,-0.0770236,-0.02548936,-0.110299125,-0.11129397,-0.10196916,-0.09858095,-0.0723284,-0.07610297,-0.049414452,-0.038313057,-0.023277655,-0.011645987,0.009114168,0.03261076,0.3104731,0.11094221,0.12542689,0.18619393,0.17725663,0.15964635,0.19001868,0.05710534,0.08302199,0.12556858,0.08642217,0.07640174,0.032275125,0.050087173,0.00035755336,0.0055511,-0.021295965,-0.013020445,-0.029034838,-0.050724134,-0.07167712,-0.1062015,-0.10603614,-0.111339584,-0.021450546,0.24798864,-0.09564813,-0.07084435,-0.2327675,-0.2606901,-0.27929333,-0.31650525,-0.29786763,-0.34156406,-0.3250083,-0.35885686,-0.3085227,-0.33768278,-0.29999763,-0.3293558,-0.2741681,-0.29900542,-0.23886263,-0.24639201,-0.11701452,-0.061041296,0.23977949,-0.10610487,-0.09202097,-0.17140876,-0.18388852,-0.120658025,-0.13784185,-0.17694125,-0.20437357,-0.20193416,-0.24097654,-0.2297884,-0.27647462,-0.21521114,-0.27148694,-0.22476014,-0.28197575,-0.2426719,-0.28321353,-0.23998827,-0.27340317,-0.20103037,-0.18792987,0.23297757,-0.18383469,-0.13232923,0.44327974,0.41342402,0.40718725,0.37630776,0.3815032,0.32881925,0.3431679,0.29331243,0.30317014,0.2597495,0.23105304,0.20395982,0.20642842,0.258261,0.1356779,0.15526527,0.25610396
52s,0.6610877,0.9510641,0.9587468,0.62255484,0.95165247,0.94411653,0.93556064,0.9290578,0.5699445,0.96681607,1.0000001,0.9286022,0.9083208,0.8943066,0.87243485,0.5141561,0.9446078,0.96076703,0.94297916,0.98859936,0.8934711,0.8685308,0.8434926,0.8186804,0.46367395,0.8659891,0.8874788,0.8763214,0.90273714,0.88655573,0.9459836,0.8069191,0.79308456,0.7127066,0.6839397,0.36780113,0.7659284,0.79635745,0.76102597,0.78955054,0.746042,0.7708483,0.71430916,0.784285,0.618279,0.61989266,0.5173684,0.51780105,0.34168363,0.6322663,0.6734963,0.6204106,0.6671575,0.6045817,0.65092164,0.55209047,0.58910495,0.5039922,0.5602723,0.4048606,0.45644516,0.3351089,0.3785923,0.31713992,-0.068427816,-0.0037173266,-0.08668493,0.0020650611,-0.122689426,-0.08163553,-0.1158163,-0.07197409,-0.09214038,-0.060530733,-0.07221363,-0.024820108,-0.046048462,-0.00027384597,-0.0135867195,0.049105715,0.38269404,0.113795504,0.17458384,0.23522192,0.26490518,0.18053693,0.25229675,0.04634772,0.117650405,0.107508674,0.12974101,0.050999723,0.08060323,0.026368119,0.055335138,-0.02110082,0.040524192,-0.042305812,0.03547059,-0.08423457,-0.0057583824,-0.13727602,-0.041190445,-0.13527258,0.028029662,0.30134368,-0.10900712,0.025981557,-0.20099962,-0.19595873,-0.24818747,-0.24953392,-0.26678008,-0.27062103,-0.29392225,-0.28571838,-0.27561736,-0.26421714,-0.2704974,-0.2558223,-0.24319087,-0.22842398,-0.20691906,-0.17604925,-0.078729115,0.022409152,0.31800914,-0.064839706,-0.0013418682,-0.13609335,-0.10210008,-0.11473264,-0.07476422,-0.17778233,-0.1380512,-0.20264581,-0.16856867,-0.2315554,-0.19759506,-0.22158323,-0.19247568,-0.23651823,-0.21684194,-0.2513932,-0.22323397,-0.23908259,-0.212816,-0.18481722,-0.09593101,0.29879683,-0.1768007,-0.060202193,0.4055683,0.4391259,0.3558019,0.4025542,0.329652,0.3576496,0.28836143,0.32128134,0.24462481,0.29426554,0.1807281,0.26368144,0.13801475,0.27917004,0.08953796,0.21788397,0.28807437
53o,0.7147349,0.97744393,0.94704765,0.67557347,0.9858928,0.9570939,0.993044,0.949652,0.6304757,0.97374433,0.9286022,1.0000001,0.95393384,0.9830932,0.91364866,0.5852187,0.9549445,0.93190616,0.98101985,0.9361955,0.99035394,0.9352094,0.9545028,0.87067586,0.5380235,0.85112137,0.830729,0.91667235,0.892684,0.9363625,0.8849056,0.9296829,0.87482816,0.8419189,0.7531577,0.45133415,0.7508503,0.738181,0.795694,0.7751266,0.8132185,0.79329544,0.7952656,0.7509798,0.76459277,0.72003543,0.6529035,0.5927402,0.41856995,0.6066208,0.6055344,0.65151477,0.64875185,0.6446744,0.63531435,0.6363419,0.6217942,0.5934975,0.54279214,0.5530113,0.5677525,0.4762437,0.44261152,0.38204628,-0.08993585,-0.06360716,-0.100464545,-0.042703915,-0.12529911,-0.11923635,-0.10980414,-0.102043085,-0.07264945,-0.073047996,-0.03816805,-0.021777254,-0.003974932,0.012486429,0.03491012,0.06441855,0.3667477,0.1358705,0.15531746,0.20285852,0.20051613,0.18618135,0.22561628,0.086506225,0.1203548,0.019670784,-0.0072384253,-0.0039688796,-0.036472112,-0.024005368,-0.057035655,-0.0505466,-0.06051349,-0.05959055,-0.06180159,-0.06654908,-0.069912896,-0.08818753,-0.08997128,-0.06816326,0.036498584,0.31108806,-0.042804237,-0.018051062,-0.34738985,-0.37292206,-0.37985432,-0.41382936,-0.39364883,-0.43100274,-0.4116575,-0.43980542,-0.387662,-0.41004226,-0.36134583,-0.38186377,-0.32248423,-0.3389458,-0.26267973,-0.26431128,-0.12259914,-0.061219495,0.2861365,-0.1084399,-0.09179802,-0.17593528,-0.18629822,-0.23937163,-0.2523685,-0.27442122,-0.2978679,-0.29269415,-0.32615882,-0.30863348,-0.34774905,-0.28269735,-0.3329914,-0.2760164,-0.32191843,-0.260958,-0.29118735,-0.2341309,-0.26430097,-0.17419544,-0.15996571,0.28969565,-0.15913874,-0.10366435,0.3552113,0.33610627,0.3486173,0.32813886,0.3308212,0.2907839,0.30741268,0.2745244,0.3006725,0.27379364,0.25291127,0.22945547,0.28039786,0.3515541,0.21091674,0.23726493,0.33036077
