,hand,22o,32o,32s,33o,42o,42s,43o,43s,44o,52o,52s,53o,53s,54o,54s,55o,62o,62s,63o,63s,64o,64s,65o,65s,66o,72o,72s,73o,73s,74o,74s,75o,75s,76o,76s,77o,82o,82s,83o,83s,84o,84s,85o,85s,86o,86s,87o,87s,88o,92o,92s,93o,93s,94o,94s,95o,95s,96o,96s,97o,97s,98o,98s,99o,A2o,A2s,A3o,A3s,A4o,A4s,A5o,A5s,A6o,A6s,A7o,A7s,A8o,A8s,A9o,A9s,AAo,AJo,AJs,AKo,AKs,AQo,AQs,ATo,ATs,J2o,J2s,J3o,J3s,J4o,J4s,J5o,J5s,J6o,J6s,J7o,J7s,J8o,J8s,J9o,J9s,JJo,JTo,JTs,K2o,K2s,K3o,K3s,K4o,K4s,K5o,K5s,K6o,K6s,K7o,K7s,K8o,K8s,K9o,K9s,KJo,KJs,KKo,KQo,KQs,KTo,KTs,Q2o,Q2s,Q3o,Q3s,Q4o,Q4s,Q5o,Q5s,Q6o,Q6s,Q7o,Q7s,Q8o,Q8s,Q9o,Q9s,QJo,QJs,QQo,QTo,QTs,T2o,T2s,T3o,T3s,T4o,T4s,T5o,T5s,T6o,T6s,T7o,T7s,T8o,T8s,T9o,T9s,TTo
0,22o,1.0,0.9829578,0.98976654,0.9953719,0.921544,0.9466113,0.9602952,0.9715516,0.9785161,0.75726056,0.78731817,0.8620875,0.89106447,0.9220297,0.91843855,0.94676924,0.5646587,0.5980551,0.6598326,0.6707342,0.7991145,0.82013696,0.8653655,0.87057173,0.889565,0.34169513,0.3860337,0.45560738,0.4896033,0.5687783,0.5887457,0.69477093,0.721601,0.7814748,0.78442186,0.7353631,0.15837824,0.2018757,0.2347157,0.28728488,0.359494,0.36167493,0.4294353,0.45264205,0.5635735,0.57926035,0.65479714,0.6631933,0.59394634,0.021112267,0.05288817,0.08448503,0.119390674,0.16633981,0.20468998,0.2426924,0.26968694,0.3101743,0.32390463,0.41161263,0.42884856,0.4917606,0.50348735,0.46211237,-0.87590146,-0.8610345,-0.87109315,-0.8556922,-0.8754047,-0.863385,-0.8777588,-0.85826975,-0.8788956,-0.86950004,-0.87757635,-0.8558866,-0.86988527,-0.84879905,-0.8469357,-0.81387967,-0.390564,-0.7685398,-0.7272851,-0.6026863,-0.55993396,-0.65921515,-0.61357987,-0.8153999,-0.7754872,-0.21441679,-0.21605858,-0.16825984,-0.18069288,-0.1371063,-0.15024734,-0.090778485,-0.12311458,-0.062242087,-0.08246481,-0.019231638,-0.0550439,0.001504818,-0.021958962,0.07350207,0.023427933,0.09995092,0.10863791,0.055525225,-0.9579283,-0.95883226,-0.95736927,-0.9583533,-0.9548647,-0.95636547,-0.9507235,-0.9519223,-0.9456344,-0.94521934,-0.93718684,-0.9333594,-0.92597854,-0.9190849,-0.90523463,-0.8926161,-0.8415292,-0.794447,-0.45082456,-0.70201266,-0.655493,-0.88205934,-0.86456954,-0.9265583,-0.92540044,-0.93027496,-0.92867047,-0.9324796,-0.9325971,-0.9332047,-0.93294287,-0.9321133,-0.93188816,-0.9280459,-0.9274485,-0.9171002,-0.9108151,-0.9000884,-0.88458955,-0.83577734,-0.77742255,-0.47595656,-0.8715659,-0.83360463,-0.1298782,-0.1383359,-0.073913515,-0.08413371,-0.02145388,-0.050315563,0.018793114,-0.013324476,0.07736634,0.039071187,0.11152978,0.065620005,0.19125867,0.14670868,0.2760933,0.24545282,0.22105671
1,32o,0.9829578,1.0,0.99862677,0.9933766,0.97527134,0.98794013,0.9941215,0.99704516,0.9931716,0.85870934,0.8809468,0.93607163,0.9545273,0.9739808,0.97088856,0.97963935,0.69788504,0.7254378,0.77877444,0.78668875,0.88898987,0.90366274,0.9364437,0.9390691,0.9439351,0.49697056,0.5364981,0.6008286,0.6304936,0.7002503,0.7167811,0.8050933,0.8258772,0.87318486,0.8744024,0.8293048,0.32383355,0.36431915,0.39685255,0.44522613,0.512765,0.51408154,0.5756895,0.59600306,0.6925537,0.70491356,0.7694735,0.77555853,0.70815605,0.18999653,0.22014964,0.25218433,0.28527802,0.3309718,0.366569,0.40296936,0.42778924,0.4647887,0.4771432,0.55626774,0.5703278,0.6265592,0.6360994,0.5889718,-0.9320737,-0.92221117,-0.9297975,-0.91954786,-0.93292445,-0.9246095,-0.93377405,-0.921047,-0.93473107,-0.9286059,-0.93363374,-0.91887623,-0.92845005,-0.9136886,-0.9129152,-0.88814855,-0.5241821,-0.85328346,-0.81864375,-0.72046304,-0.6823681,-0.7690996,-0.72894394,-0.88957494,-0.8576468,-0.04681817,-0.049132094,0.00052001514,-0.01276092,0.031776734,0.018083332,0.07820906,0.044983122,0.10622613,0.085422486,0.14819986,0.11231189,0.16678615,0.14321962,0.23515329,0.18431263,0.22583385,0.26689467,0.21284069,-0.9450261,-0.9459816,-0.94916123,-0.95023966,-0.9530543,-0.9559907,-0.95481503,-0.95741963,-0.95747507,-0.9578393,-0.9563072,-0.95559984,-0.9526053,-0.9492299,-0.94275564,-0.9345541,-0.89992034,-0.8612715,-0.57391775,-0.80345815,-0.7631884,-0.9284494,-0.91442704,-0.8787309,-0.8767679,-0.88670015,-0.8841427,-0.8951179,-0.89532465,-0.90256673,-0.902169,-0.9091244,-0.9094554,-0.9143611,-0.91379714,-0.91179454,-0.90882826,-0.91037655,-0.89693254,-0.8641044,-0.8137457,-0.5840045,-0.89259785,-0.8639361,0.03969874,0.030562826,0.096122034,0.085173756,0.14812621,0.118661806,0.18755616,0.15536672,0.24404973,0.20625299,0.27605543,0.230762,0.34968698,0.3055112,0.4289784,0.39801794,0.35912547
2,32s,0.98976654,0.99862677,1.0,0.9965572,0.96477956,0.98119843,0.988684,0.9943467,0.9920868,0.83629,0.8610917,0.92058456,0.9419768,0.96411145,0.96135306,0.9740853,0.66762054,0.69738394,0.7521854,0.76131064,0.86965615,0.88619196,0.92189133,0.92542607,0.93276924,0.46078607,0.5022311,0.567596,0.5991032,0.6703481,0.6882882,0.7806417,0.80337244,0.85355777,0.85521287,0.80779034,0.28463674,0.32650682,0.35881832,0.40885395,0.47720408,0.4791269,0.54181457,0.56345123,0.6633029,0.6767426,0.74399316,0.7505754,0.68072826,0.14958678,0.18062629,0.21235867,0.24634488,0.29200274,0.32894626,0.365407,0.3912342,0.4286802,0.44167158,0.52286327,0.5377216,0.5955954,0.60569215,0.5572475,-0.92244536,-0.9116131,-0.9196604,-0.90839905,-0.9231985,-0.9143618,-0.924294,-0.91041595,-0.9254178,-0.9187793,-0.92442954,-0.9084142,-0.91876215,-0.90284526,-0.901552,-0.87533456,-0.49889553,-0.83819944,-0.8023618,-0.697561,-0.65857106,-0.74801075,-0.7067124,-0.87660414,-0.84320134,-0.08749781,-0.08927917,-0.0401824,-0.05286067,-0.008888135,-0.022159796,0.03782589,0.0049698316,0.06597108,0.045672543,0.10831425,0.07243772,0.127072,0.10348335,0.19649959,0.14506115,0.18957299,0.22851726,0.17408423,-0.9517606,-0.952644,-0.9547341,-0.95571756,-0.9571032,-0.9597332,-0.9573355,-0.95964754,-0.95824444,-0.95845664,-0.9553774,-0.95409125,-0.94991785,-0.9459373,-0.9375131,-0.9287357,-0.8905331,-0.8505676,-0.55121744,-0.783928,-0.7424297,-0.9215341,-0.907252,-0.89392483,-0.89191556,-0.9008324,-0.8983109,-0.907853,-0.90786123,-0.91359204,-0.91314834,-0.91837865,-0.9185171,-0.92136025,-0.9207434,-0.9169122,-0.91327953,-0.91202694,-0.8985609,-0.8621379,-0.810754,-0.56565315,-0.8919894,-0.86180216,-0.001319224,-0.009807776,0.055287343,0.04489809,0.10748534,0.078561775,0.14739029,0.115597785,0.20442957,0.16687971,0.23686433,0.19141476,0.3120832,0.26757273,0.392831,0.36174324,0.32252872
3,33o,0.9953719,0.9933766,0.9965572,1.0000001,0.9514444,0.9705124,0.98093367,0.98843664,0.9937347,0.810904,0.8373336,0.9041971,0.92890126,0.9536848,0.9512684,0.9732359,0.6340426,0.66467816,0.7240155,0.73405516,0.85089606,0.8697919,0.9083516,0.91300535,0.9291755,0.42172801,0.46404633,0.5324262,0.5644013,0.64097095,0.6596386,0.75838834,0.7830346,0.8367446,0.8397965,0.79681706,0.24351455,0.28569463,0.31955203,0.3700335,0.44190055,0.44403028,0.5102002,0.53203404,0.6381125,0.6532277,0.72328144,0.7314164,0.668086,0.107885644,0.13901505,0.17193815,0.2061442,0.2539051,0.29088888,0.3296745,0.35574728,0.39636025,0.40979758,0.49511158,0.512247,0.5721925,0.58362997,0.5444273,-0.9041974,-0.89060885,-0.9003957,-0.8863427,-0.9042107,-0.8925632,-0.90562767,-0.8878252,-0.90658045,-0.8976911,-0.9050513,-0.8851751,-0.89802396,-0.8786282,-0.8777513,-0.8469034,-0.4475412,-0.805451,-0.7657882,-0.6559001,-0.6144349,-0.70879346,-0.664594,-0.84854865,-0.810804,-0.12853956,-0.13018632,-0.080824874,-0.09333921,-0.0484358,-0.06157973,-0.0010543673,-0.033266306,0.028660713,0.008478042,0.07262463,0.037376627,0.094588734,0.071678504,0.1670018,0.11837916,0.18759626,0.20272444,0.15073474,-0.95426697,-0.95469904,-0.9554702,-0.95603174,-0.95563185,-0.95716655,-0.95380586,-0.9549545,-0.9517282,-0.95087165,-0.9462514,-0.94282115,-0.9379317,-0.9314627,-0.92136776,-0.9092499,-0.86389405,-0.81849486,-0.5009236,-0.7474305,-0.702624,-0.9005904,-0.8828213,-0.9024554,-0.9005445,-0.9075389,-0.90510094,-0.91191345,-0.91171765,-0.9149548,-0.9141579,-0.916402,-0.91592824,-0.9159136,-0.9147421,-0.9074766,-0.90160507,-0.89672935,-0.88016295,-0.83633775,-0.7785285,-0.51333934,-0.87112993,-0.8350308,-0.042815115,-0.051222194,0.014499593,0.0043345187,0.067994475,0.039154425,0.10895483,0.0771347,0.16821304,0.1303742,0.20313492,0.15824994,0.2827086,0.23988,0.36611292,0.3369984,0.3113076
4,42o,0.921544,0.97527134,0.96477956,0.9514444,1.0,0.99700683,0.9922174,0.98534036,0.97387993,0.95022166,0.96301025,0.9902218,0.9953404,0.99745774,0.9958058,0.985412,0.8379945,0.85820824,0.8977184,0.9031651,0.9669995,0.97356707,0.98757404,0.98754364,0.98012424,0.67515826,0.70809066,0.7619345,0.78542924,0.840023,0.8523657,0.91446006,0.9271626,0.9549891,0.9539921,0.9207864,0.52363956,0.55949336,0.58908325,0.63098145,0.6891786,0.69013005,0.7411621,0.7577668,0.83226395,0.84044254,0.8865371,0.8892851,0.8321943,0.40093544,0.42867538,0.4589159,0.48899543,0.5307054,0.56222636,0.5945136,0.61608255,0.64754987,0.6580912,0.7230072,0.7329502,0.777132,0.783142,0.7344053,-0.9563747,-0.953245,-0.9573277,-0.9541572,-0.95851314,-0.9551367,-0.9573095,-0.9537389,-0.95798737,-0.9562418,-0.95703864,-0.95169234,-0.95504224,-0.94889313,-0.9494861,-0.93629444,-0.666603,-0.91610134,-0.8912872,-0.8334305,-0.802936,-0.86835605,-0.83729184,-0.9373602,-0.917069,0.17379686,0.17144415,0.22053862,0.20751354,0.25117084,0.23786446,0.29589957,0.26393262,0.3226022,0.3026038,0.36193907,0.32783145,0.37839004,0.3558591,0.44000763,0.39031565,0.38540322,0.46587998,0.41286778,-0.8804524,-0.8811251,-0.8900972,-0.89105517,-0.90156996,-0.9059853,-0.91035146,-0.91455245,-0.9225608,-0.9237095,-0.9307466,-0.933917,-0.93642217,-0.9375954,-0.9406757,-0.93842846,-0.9255837,-0.8998987,-0.7003036,-0.890233,-0.86008626,-0.93785924,-0.9287102,-0.7695437,-0.76633567,-0.78226095,-0.778374,-0.7974348,-0.7975413,-0.81236225,-0.81173843,-0.82769454,-0.8288304,-0.84429985,-0.8438379,-0.85159826,-0.8528239,-0.8697252,-0.85933274,-0.846774,-0.8092816,-0.68612397,-0.86565226,-0.8507807,0.25836074,0.24947774,0.31292626,0.30240008,0.3624598,0.33448574,0.39937204,0.36907825,0.45145634,0.41638276,0.4799572,0.43818453,0.54441136,0.50279677,0.6117741,0.5821558,0.52793586
5,42s,0.9466113,0.98794013,0.98119843,0.9705124,0.99700683,1.0,0.9977773,0.9948185,0.9857892,0.9258553,0.94254744,0.9780993,0.9881181,0.9950791,0.99351907,0.9895386,0.7980895,0.8215949,0.864822,0.8717985,0.9474146,0.9571516,0.9766474,0.9777803,0.97440207,0.62249315,0.6584752,0.7152658,0.741598,0.8002743,0.8147144,0.88490474,0.9008874,0.93446785,0.93415195,0.896552,0.46331587,0.5015071,0.5315422,0.5763121,0.6371906,0.6388039,0.69279414,0.7113636,0.7928963,0.8029376,0.8546274,0.8582602,0.7965945,0.33649698,0.36566436,0.39615303,0.42779183,0.47044125,0.504113,0.5373341,0.56051993,0.59345543,0.6049635,0.6745499,0.68602884,0.7338948,0.74094427,0.6905984,-0.9510874,-0.9459526,-0.9511877,-0.945931,-0.95308006,-0.94842565,-0.9523883,-0.9463274,-0.9532996,-0.9503846,-0.95243305,-0.94442147,-0.94947475,-0.94086087,-0.94082654,-0.9244319,-0.62709826,-0.8998314,-0.87223434,-0.80184245,-0.76914746,-0.84085906,-0.8070896,-0.9254475,-0.90183127,0.105260625,0.10334568,0.15247792,0.13978212,0.18352091,0.17035696,0.22916089,0.19698903,0.25640535,0.2365405,0.29682946,0.26208648,0.3138292,0.290887,0.3780056,0.3272314,0.33197585,0.40532377,0.35132766,-0.90309197,-0.9037344,-0.9109229,-0.9118027,-0.9199253,-0.92388767,-0.92633575,-0.93008006,-0.9356078,-0.9364743,-0.9409045,-0.94297093,-0.9435898,-0.94349533,-0.9434013,-0.93967927,-0.92025983,-0.89112806,-0.66593945,-0.8661845,-0.8331074,-0.93732226,-0.9271526,-0.8056377,-0.80254793,-0.81677395,-0.8130818,-0.82972896,-0.82966876,-0.8420909,-0.84144074,-0.8545989,-0.85541934,-0.8675541,-0.86700654,-0.8716575,-0.8716253,-0.8838569,-0.8728567,-0.853917,-0.81318396,-0.6590422,-0.8756359,-0.8570706,0.19069351,0.18224701,0.24617922,0.23594978,0.29671845,0.26870558,0.33476785,0.30424428,0.3884855,0.35287428,0.41815633,0.37524793,0.48603916,0.44339198,0.5572051,0.52690446,0.4741854
6,43o,0.9602952,0.9941215,0.988684,0.98093367,0.9922174,0.9977773,1.0000001,0.99858797,0.992708,0.90514624,0.9229526,0.9676501,0.98069996,0.9927778,0.9909128,0.99211824,0.7653455,0.789418,0.83864313,0.8455493,0.93246615,0.94424623,0.96883315,0.9706765,0.9718979,0.5803379,0.61697364,0.6784878,0.70540553,0.7706156,0.7853831,0.8635743,0.88136595,0.9206483,0.92164814,0.8839085,0.4162076,0.4545781,0.48738828,0.5327015,0.59831136,0.5995578,0.65807253,0.6765321,0.7654787,0.7767702,0.8337951,0.8391991,0.7791254,0.28661886,0.31563604,0.3483074,0.3801379,0.4256591,0.45925105,0.49561745,0.5190399,0.5553036,0.5670881,0.6417831,0.65522194,0.7069109,0.71570235,0.67092294,-0.94839716,-0.9404011,-0.9473807,-0.9390952,-0.9498714,-0.942366,-0.9496591,-0.93940085,-0.9504334,-0.94519967,-0.9491946,-0.93705976,-0.9450026,-0.93267906,-0.9329725,-0.9114791,-0.5824745,-0.88193625,-0.85005,-0.77052736,-0.73475254,-0.8138499,-0.77631986,-0.9130124,-0.8844788,0.05296701,0.050692387,0.10111559,0.088010594,0.13314648,0.11969878,0.17989251,0.14732523,0.20864417,0.18822515,0.25081033,0.21603777,0.27021143,0.24753788,0.33757988,0.28873754,0.3187096,0.36892542,0.3164739,-0.92404175,-0.9244969,-0.93023175,-0.9308586,-0.93720716,-0.94019693,-0.9416555,-0.9442646,-0.9478603,-0.9478517,-0.9502697,-0.95022887,-0.95010537,-0.947508,-0.9454064,-0.93823653,-0.9112035,-0.8757133,-0.62377495,-0.8428566,-0.8055283,-0.9344675,-0.92071646,-0.83531827,-0.8325635,-0.8448514,-0.8414158,-0.8557114,-0.85559213,-0.8657976,-0.86486,-0.8753102,-0.8754545,-0.8847628,-0.8836635,-0.8853676,-0.88310575,-0.8913725,-0.87729824,-0.8512087,-0.80316705,-0.6195051,-0.8777018,-0.85234886,0.13922834,0.1303119,0.19605976,0.18538025,0.24821399,0.21933557,0.28767774,0.25635934,0.3438297,0.3071776,0.3758957,0.3324393,0.44773397,0.40591234,0.5236361,0.49453905,0.45338753
7,43s,0.9715516,0.99704516,0.9943467,0.98843664,0.98534036,0.9948185,0.99858797,1.0000001,0.9957607,0.8851424,0.90558183,0.9552501,0.97149175,0.9865574,0.9851131,0.9904475,0.73622745,0.7625864,0.8137552,0.8218362,0.9157279,0.92961144,0.957436,0.96032614,0.96421367,0.5440164,0.5827198,0.6457246,0.6745864,0.74188197,0.75811666,0.841018,0.86097616,0.9035771,0.9052636,0.8650747,0.375905,0.4158072,0.44864622,0.4957939,0.56271607,0.56457543,0.62455904,0.6443776,0.73731446,0.7498768,0.8100602,0.8162626,0.75369316,0.24441512,0.2743877,0.30700007,0.3398521,0.38565987,0.42067572,0.45738238,0.48192015,0.5188628,0.53135145,0.6086178,0.6231079,0.67677706,0.68644565,0.64071155,-0.9430428,-0.93379897,-0.9414507,-0.93183976,-0.94438267,-0.9360985,-0.9444804,-0.9326712,-0.9453951,-0.93941665,-0.94425577,-0.9304971,-0.93948567,-0.92566496,-0.92554337,-0.90211594,-0.55696684,-0.86993897,-0.8363754,-0.749244,-0.71217537,-0.7949363,-0.75578195,-0.90360236,-0.87307733,0.009353068,0.0075732004,0.057697743,0.045101725,0.08992109,0.076826915,0.13711375,0.10478888,0.16615784,0.14614922,0.2088748,0.17406026,0.2285639,0.2058773,0.2973312,0.24802442,0.28333473,0.32937065,0.27669472,-0.9362086,-0.9365513,-0.94121355,-0.9416992,-0.94661385,-0.94920933,-0.9495234,-0.95173126,-0.95383257,-0.95357037,-0.9544472,-0.9536343,-0.95239294,-0.9489582,-0.944898,-0.93679756,-0.9057088,-0.8681637,-0.60122466,-0.8259149,-0.7868648,-0.9319292,-0.91752887,-0.85623163,-0.85341495,-0.86470973,-0.8612954,-0.87416637,-0.87381804,-0.88256377,-0.88152134,-0.8902407,-0.89010406,-0.8973789,-0.896119,-0.8959859,-0.89285135,-0.89825,-0.8838008,-0.85377914,-0.80378777,-0.6015634,-0.88194686,-0.8542695,0.09572776,0.08737536,0.15300459,0.14282179,0.20563073,0.17710906,0.24572447,0.21464431,0.3027396,0.2661348,0.33542317,0.29163566,0.4092238,0.36709332,0.48718113,0.45810893,0.41759044
8,44o,0.9785161,0.9931716,0.9920868,0.9937347,0.97387993,0.9857892,0.992708,0.9957607,1.0000001,0.86169887,0.8835807,0.94131064,0.96097034,0.9784876,0.9774459,0.99277306,0.7045324,0.7314872,0.7879513,0.7969303,0.89973366,0.91613525,0.94671565,0.95078963,0.9645997,0.50672364,0.5460984,0.6127378,0.64187694,0.7152661,0.7322242,0.82195455,0.8439178,0.89010906,0.89337564,0.85892195,0.33643717,0.376466,0.4113973,0.4587437,0.529885,0.53189105,0.5959475,0.6158229,0.7156461,0.73010546,0.7931431,0.80110216,0.746717,0.20419899,0.23413149,0.26841664,0.3013702,0.34980935,0.3846442,0.4242978,0.44896048,0.48970273,0.5027031,0.5846836,0.6018395,0.65769297,0.6688586,0.6343312,-0.92471063,-0.91227955,-0.92198485,-0.90917134,-0.92520714,-0.9135518,-0.9255243,-0.9091976,-0.92620355,-0.91757524,-0.9243649,-0.90615857,-0.9180487,-0.90022546,-0.90074366,-0.8719859,-0.50175935,-0.8350605,-0.7970632,-0.7054588,-0.6655702,-0.75375336,-0.71126217,-0.8739302,-0.8383959,-0.03038673,-0.032100204,0.01862033,0.0061356593,0.052226476,0.039219406,0.10035969,0.068710215,0.13137418,0.111422725,0.17614627,0.1420769,0.19973597,0.17793748,0.27219173,0.22634648,0.29068363,0.30878803,0.25908017,-0.93913627,-0.93890625,-0.9422183,-0.94217545,-0.94526523,-0.9465775,-0.9459576,-0.9467471,-0.94701284,-0.94543564,-0.9447921,-0.9414184,-0.93963516,-0.9332443,-0.92760277,-0.91553414,-0.876512,-0.8326205,-0.5465283,-0.78753465,-0.7446573,-0.90912586,-0.8904936,-0.8642721,-0.8615574,-0.8707004,-0.8673026,-0.87724924,-0.8766351,-0.88267136,-0.88113296,-0.88662416,-0.8857193,-0.88995713,-0.8879768,-0.8840753,-0.8782877,-0.8800077,-0.8616758,-0.8233117,-0.7656794,-0.5433074,-0.85728437,-0.8226994,0.055651076,0.04732927,0.11397171,0.10393862,0.1682063,0.13966274,0.20964903,0.17849381,0.2693471,0.23238967,0.3051129,0.26210275,0.3840732,0.34409818,0.4651458,0.43845668,0.41418356
9,52o,0.75726056,0.85870934,0.83629,0.810904,0.95022166,0.9258553,0.90514624,0.8851424,0.86169887,1.0,0.9983353,0.9815099,0.9669422,0.94444937,0.9446171,0.9061585,0.96599597,0.97449386,0.98935425,0.99043137,0.99294466,0.9871693,0.9734443,0.9691858,0.9423052,0.8709085,0.89199543,0.924819,0.9377415,0.96456504,0.9696512,0.98805165,0.9881302,0.9856777,0.9808299,0.9638738,0.76239616,0.78903836,0.8105031,0.8401899,0.87853825,0.87895316,0.9093442,0.91933864,0.95452875,0.95577586,0.9715053,0.9684118,0.92611706,0.66556764,0.6877842,0.7117115,0.7351545,0.766491,0.7899867,0.812132,0.82746774,0.8469957,0.8536206,0.8914554,0.8938891,0.9167797,0.91656005,0.8645943,-0.91136587,-0.91923845,-0.9171764,-0.9254835,-0.91526985,-0.92071104,-0.9115743,-0.9228268,-0.9119092,-0.91756946,-0.911606,-0.9215459,-0.9148273,-0.9227136,-0.9247485,-0.9308212,-0.822486,-0.934269,-0.92720115,-0.9295842,-0.91342133,-0.9417004,-0.92734814,-0.931126,-0.9306831,0.4707212,0.46837115,0.5119078,0.5000681,0.53830326,0.52641845,0.5760439,0.54803014,0.59746987,0.5800964,0.6285105,0.59909534,0.6386756,0.6187252,0.68346024,0.63791037,0.55688727,0.6968239,0.64793336,-0.7143827,-0.7150504,-0.7316074,-0.73271555,-0.75331366,-0.7600354,-0.7719481,-0.77886456,-0.7974888,-0.8003864,-0.8189565,-0.82861406,-0.83824986,-0.8470973,-0.8633064,-0.8713512,-0.8927381,-0.88981754,-0.8326502,-0.9443978,-0.9324896,-0.87888676,-0.87943405,-0.5513646,-0.5468756,-0.57048297,-0.5654341,-0.59473276,-0.5950753,-0.6199529,-0.6196229,-0.64762604,-0.6503932,-0.68002945,-0.6804112,-0.70223814,-0.71064043,-0.74801725,-0.74503046,-0.7648434,-0.7521874,-0.7891026,-0.76630694,-0.77478325,0.5454248,0.53738225,0.5918104,0.582583,0.6328418,0.60913116,0.66222787,0.636873,0.70247394,0.67392784,0.72226477,0.6878667,0.7657265,0.7299113,0.8095217,0.7827557,0.70470655
10,52s,0.78731817,0.8809468,0.8610917,0.8373336,0.96301025,0.94254744,0.9229526,0.90558183,0.8835807,0.9983353,1.0,0.98811686,0.9766958,0.9570918,0.9572835,0.9230096,0.9530357,0.9644133,0.98129517,0.9839659,0.994334,0.99044037,0.98035604,0.97692126,0.9524867,0.847573,0.87149745,0.9062772,0.92173666,0.95112765,0.95812255,0.9822108,0.98437166,0.98576945,0.9811502,0.9606273,0.73204803,0.7610321,0.78253746,0.8151157,0.85530514,0.85627913,0.88884103,0.90080905,0.9410039,0.9432382,0.9630989,0.9604187,0.9137985,0.6309005,0.65474105,0.67865187,0.70379597,0.7357751,0.7615252,0.7841729,0.80106777,0.82145935,0.82906216,0.8703659,0.8734782,0.8992794,0.89963156,0.84485996,-0.9226761,-0.9295659,-0.9280323,-0.9354051,-0.9266293,-0.9316225,-0.92322487,-0.93344796,-0.9237914,-0.9290586,-0.92361075,-0.9323364,-0.92632717,-0.93306404,-0.9344979,-0.9390185,-0.8116062,-0.9397618,-0.9310418,-0.9247883,-0.90701777,-0.9395848,-0.9235477,-0.9391574,-0.93696576,0.43019912,0.4282491,0.47215596,0.46050754,0.49911553,0.48723283,0.537977,0.50945985,0.55996203,0.5424815,0.5920886,0.56170785,0.6024514,0.58182824,0.64951354,0.601769,0.522985,0.6634897,0.61274093,-0.74105394,-0.7417662,-0.7573541,-0.75849676,-0.777746,-0.7844319,-0.79505426,-0.80196184,-0.81913084,-0.822088,-0.83909225,-0.84838635,-0.8567248,-0.86517155,-0.8793763,-0.88702464,-0.90462583,-0.90016997,-0.82559407,-0.9444801,-0.9307602,-0.89343315,-0.8938065,-0.5850557,-0.58054835,-0.6035331,-0.59851265,-0.6267063,-0.6269251,-0.6506419,-0.6503313,-0.67695725,-0.6796815,-0.7075476,-0.70799804,-0.7280431,-0.7359253,-0.7707701,-0.76779664,-0.78390014,-0.7696931,-0.7871939,-0.78683496,-0.7938894,0.5065589,0.4988156,0.55410635,0.5450742,0.59632164,0.57239807,0.62679654,0.60095817,0.66860926,0.6393296,0.6891031,0.6534792,0.7356009,0.6979389,0.78210974,0.7541558,0.67414373
11,53o,0.8620875,0.93607163,0.92058456,0.9041971,0.9902218,0.9780993,0.9676501,0.9552501,0.94131064,0.9815099,0.98811686,1.0000001,0.9976304,0.9895019,0.98925346,0.96916646,0.9012281,0.91636074,0.9484099,0.95231384,0.99301726,0.9953177,0.9977996,0.9964158,0.984015,0.76508045,0.7932251,0.8410019,0.8601708,0.9060713,0.9156357,0.9618612,0.97011346,0.9859644,0.9841613,0.9610492,0.6304183,0.6624793,0.6909468,0.7276024,0.7805904,0.7814572,0.82614815,0.8398608,0.90129787,0.90762454,0.9418564,0.9429583,0.8962297,0.51742154,0.5429123,0.57255447,0.6000351,0.6396323,0.66770965,0.6982612,0.71732354,0.7462621,0.75555897,0.8120838,0.8204654,0.856858,0.86102736,0.815367,-0.94388264,-0.9438772,-0.94662064,-0.9467388,-0.94686794,-0.94534314,-0.9442789,-0.944929,-0.9447655,-0.9447836,-0.94375604,-0.9428069,-0.9433061,-0.9412402,-0.94293296,-0.93543863,-0.72504157,-0.9234569,-0.9039679,-0.8729342,-0.8471223,-0.89905375,-0.8732161,-0.9364078,-0.9221698,0.30192265,0.29972935,0.3479768,0.3355985,0.37836102,0.36575514,0.42185077,0.39170194,0.44825533,0.42939955,0.4862389,0.45438346,0.5027007,0.4817035,0.5605146,0.5142157,0.48904085,0.5841252,0.53398424,-0.82018393,-0.8203153,-0.83232355,-0.8328136,-0.8475639,-0.8521869,-0.8596771,-0.8641007,-0.87646115,-0.8773742,-0.8893017,-0.8937963,-0.8996887,-0.9024452,-0.9109941,-0.9110318,-0.9094848,-0.8902191,-0.74697727,-0.9127836,-0.8883498,-0.9135069,-0.90603375,-0.6833584,-0.6792711,-0.69781256,-0.6929804,-0.71581304,-0.71560794,-0.73382926,-0.7327302,-0.75281847,-0.7539308,-0.7746482,-0.7738003,-0.78623766,-0.78893346,-0.8141024,-0.8041771,-0.80157584,-0.77028847,-0.7146373,-0.81640273,-0.80795217,0.38323843,0.3749645,0.43628585,0.426447,0.48405686,0.45781878,0.519578,0.4913938,0.56905496,0.53663945,0.5962859,0.5579959,0.6557025,0.61795133,0.71571577,0.68866456,0.6305737
