attribute,class,accuracy,precision,recall,f1_score,support_frac,rmse
suited,0,1.0,1.0,1.0,1.0,0.5384615384615384,
suited,1,1.0,1.0,1.0,1.0,0.46153846153846156,
connectedness,0,1.0,1.0,1.0,1.0,0.07692307692307693,
connectedness,1,1.0,1.0,1.0,1.0,0.15384615384615385,
connectedness,2,1.0,1.0,1.0,1.0,0.14201183431952663,
connectedness,3,1.0,1.0,1.0,1.0,0.1301775147928994,
connectedness,4,1.0,1.0,1.0,1.0,0.11834319526627218,
connectedness,5,1.0,1.0,1.0,1.0,0.10650887573964497,
connectedness,6,1.0,1.0,1.0,1.0,0.09467455621301775,
connectedness,7,1.0,1.0,1.0,1.0,0.05917159763313609,
connectedness,8,1.0,1.0,1.0,1.0,0.047337278106508875,
connectedness,9,1.0,1.0,1.0,1.0,0.03550295857988166,
connectedness,10,1.0,1.0,1.0,1.0,0.023668639053254437,
connectedness,11,1.0,1.0,1.0,1.0,0.011834319526627219,
pair,0,1.0,1.0,1.0,1.0,0.9230769230769231,
pair,1,1.0,1.0,1.0,1.0,0.07692307692307693,
high_card,0,1.0,1.0,1.0,1.0,0.005917159763313609,
high_card,1,1.0,1.0,1.0,1.0,0.01775147928994083,
high_card,2,1.0,1.0,1.0,1.0,0.029585798816568046,
high_card,3,1.0,1.0,1.0,1.0,0.04142011834319527,
high_card,4,1.0,1.0,1.0,1.0,0.05325443786982249,
high_card,5,1.0,1.0,1.0,1.0,0.0650887573964497,
high_card,6,1.0,1.0,1.0,1.0,0.07692307692307693,
high_card,7,1.0,1.0,1.0,1.0,0.08875739644970414,
high_card,8,1.0,1.0,1.0,1.0,0.10059171597633136,
high_card,9,1.0,1.0,1.0,1.0,0.11242603550295859,
high_card,10,1.0,1.0,1.0,1.0,0.1242603550295858,
high_card,11,1.0,1.0,1.0,1.0,0.13609467455621302,
high_card,12,1.0,1.0,1.0,1.0,0.14792899408284024,
low_card,0,0.9940828402366864,1.0,1.0,1.0,0.14792899408284024,
low_card,1,0.9940828402366864,1.0,1.0,1.0,0.13609467455621302,
low_card,2,0.9940828402366864,1.0,1.0,1.0,0.1242603550295858,
low_card,3,0.9940828402366864,1.0,1.0,1.0,0.11242603550295859,
low_card,4,0.9940828402366864,1.0,1.0,1.0,0.10059171597633136,
low_card,5,0.9940828402366864,1.0,1.0,1.0,0.08875739644970414,
low_card,6,0.9940828402366864,1.0,1.0,1.0,0.07692307692307693,
low_card,7,0.9940828402366864,1.0,1.0,1.0,0.0650887573964497,
low_card,8,0.9940828402366864,1.0,1.0,1.0,0.05325443786982249,
low_card,9,0.9940828402366864,1.0,1.0,1.0,0.04142011834319527,
low_card,10,0.9940828402366864,1.0,1.0,1.0,0.029585798816568046,
low_card,11,0.9940828402366864,0.75,1.0,0.8571428571428571,0.01775147928994083,
low_card,12,0.9940828402366864,0.0,0.0,0.0,0.005917159763313609,
rank_diff,0,1.0,1.0,1.0,1.0,0.07692307692307693,
rank_diff,1,1.0,1.0,1.0,1.0,0.14201183431952663,
rank_diff,2,1.0,1.0,1.0,1.0,0.1301775147928994,
rank_diff,3,1.0,1.0,1.0,1.0,0.11834319526627218,
rank_diff,4,1.0,1.0,1.0,1.0,0.10650887573964497,
rank_diff,5,1.0,1.0,1.0,1.0,0.09467455621301775,
rank_diff,6,1.0,1.0,1.0,1.0,0.08284023668639054,
rank_diff,7,1.0,1.0,1.0,1.0,0.07100591715976332,
rank_diff,8,1.0,1.0,1.0,1.0,0.05917159763313609,
rank_diff,9,1.0,1.0,1.0,1.0,0.047337278106508875,
rank_diff,10,1.0,1.0,1.0,1.0,0.03550295857988166,
rank_diff,11,1.0,1.0,1.0,1.0,0.023668639053254437,
rank_diff,12,1.0,1.0,1.0,1.0,0.011834319526627219,
hand_type,offsuit,1.0,1.0,1.0,1.0,0.46153846153846156,
hand_type,pair,1.0,1.0,1.0,1.0,0.07692307692307693,
hand_type,suited,1.0,1.0,1.0,1.0,0.46153846153846156,
ace,0,1.0,1.0,1.0,1.0,0.8520710059171598,
ace,1,1.0,1.0,1.0,1.0,0.14792899408284024,
broadway,0,1.0,1.0,1.0,1.0,0.378698224852071,
broadway,1,1.0,1.0,1.0,1.0,0.47337278106508873,
broadway,2,1.0,1.0,1.0,1.0,0.14792899408284024,
low_pair,0,1.0,1.0,1.0,1.0,0.9704142011834319,
low_pair,1,1.0,1.0,1.0,1.0,0.029585798816568046,
medium_pair,0,1.0,1.0,1.0,1.0,0.9763313609467456,
medium_pair,1,1.0,1.0,1.0,1.0,0.023668639053254437,
high_pair,0,1.0,1.0,1.0,1.0,0.9763313609467456,
high_pair,1,1.0,1.0,1.0,1.0,0.023668639053254437,
suited_broadway,0,1.0,1.0,1.0,1.0,0.7041420118343196,
