hand,22o,32o,32s,33o,42o,42s,43o,43s,44o,52o,52s,53o,53s,54o,54s,55o,62o,62s,63o,63s,64o,64s,65o,65s,66o,72o,72s,73o,73s,74o,74s,75o,75s,76o,76s,77o,82o,82s,83o,83s,84o,84s,85o,85s,86o,86s,87o,87s,88o,92o,92s,93o,93s,94o,94s,95o,95s,96o,96s,97o,97s,98o,98s,99o,A2o,A2s,A3o,A3s,A4o,A4s,A5o,A5s,A6o,A6s,A7o,A7s,A8o,A8s,A9o,A9s,AAo,AJo,AJs,AKo,AKs,AQo,AQs,ATo,ATs,J2o,J2s,J3o,J3s,J4o,J4s,J5o,J5s,J6o,J6s,J7o,J7s,J8o,J8s,J9o,J9s,JJo,JTo,JTs,K2o,K2s,K3o,K3s,K4o,K4s,K5o,K5s,K6o,K6s,K7o,K7s,K8o,K8s,K9o,K9s,KJo,KJs,KKo,KQo,KQs,KTo,KTs,Q2o,Q2s,Q3o,Q3s,Q4o,Q4s,Q5o,Q5s,Q6o,Q6s,Q7o,Q7s,Q8o,Q8s,Q9o,Q9s,QJo,QJs,QQo,QTo,QTs,T2o,T2s,T3o,T3s,T4o,T4s,T5o,T5s,T6o,T6s,T7o,T7s,T8o,T8s,T9o,T9s,TTo
22o,1.0,0.5611888,0.520707,0.9845606,0.5357538,0.49983296,0.5808037,0.56596047,0.9443311,0.5905016,0.5889099,0.5347411,0.5623369,0.6092199,0.61399305,0.8901023,0.4561857,0.41746554,0.55694884,0.6002797,0.49033925,0.52718556,0.5939026,0.597848,0.7960249,0.2924676,0.25694433,0.3667027,0.3284518,0.5106887,0.575256,0.42311177,0.45574558,0.565818,0.5370196,0.6860626,0.123962045,0.075523935,0.15984637,0.12264587,0.21210244,0.26930407,0.35450485,0.32333347,0.23291671,0.24268308,0.34204373,0.06876842,0.423184,-0.08702512,-0.14887229,-0.07604084,-0.09737845,-0.037075676,-0.09705624,0.019365966,-0.09566863,0.05616442,-0.064387195,-0.0813131,-0.20739737,-0.09577145,-0.37004662,0.15464438,0.4913871,0.47551608,0.49620846,0.46886545,0.4776684,0.42592022,0.4333107,0.36895132,0.41066286,0.33155948,0.36741668,0.23357269,0.2792629,0.20577928,0.2321674,0.19039896,0.2886112,0.17455491,0.112575814,0.22220066,0.2295564,0.23388876,0.21394458,0.1768755,0.11938594,-0.4566723,-0.48303553,-0.46371225,-0.48591617,-0.49188143,-0.4624865,-0.497203,-0.54216784,-0.5378138,-0.58139336,-0.61550623,-0.65054137,-0.64021,-0.68213266,-0.73928666,-0.7490347,-0.008358497,-0.69502085,-0.7073342,-0.14173718,-0.2173547,-0.19406025,-0.2539446,-0.2359497,-0.32662213,-0.31506267,-0.32952264,-0.40374324,-0.40611753,-0.42370188,-0.44955677,-0.42849767,-0.46210936,-0.4068812,-0.43810025,-0.3653902,-0.41621438,0.042086456,-0.2762444,-0.3278121,-0.37563068,-0.4213763,-0.66339177,-0.68595386,-0.69510794,-0.6965678,-0.71703947,-0.72393954,-0.75519174,-0.733541,-0.7948128,-0.7667717,-0.81460905,-0.7699909,-0.80600667,-0.7388808,-0.75806326,-0.70128936,-0.60935026,-0.5518093,-0.080573276,-0.70320857,-0.63068825,-0.2855354,-0.3096033,-0.28321564,-0.32012153,-0.29015318,-0.3553219,-0.3013898,-0.2941037,-0.29553393,-0.29747856,-0.42471606,-0.43351164,-0.5290365,-0.64139956,-0.53728634,-0.6474315,0.06121229
32o,0.5611888,0.99999994,0.9870757,0.43862787,0.99686056,0.9874774,0.9975937,0.9836337,0.30409276,0.97607046,0.98804826,0.9862297,0.98136884,0.9857416,0.9709556,0.1888065,0.9376534,0.94768804,0.935616,0.9751011,0.95545757,0.95317453,0.9511374,0.914766,0.03116794,0.82957184,0.85187733,0.8474204,0.8668353,0.84088916,0.90906477,0.85771537,0.8810309,0.82053787,0.7980236,-0.09745971,0.68341845,0.6660439,0.6836541,0.69298726,0.65332156,0.7067312,0.5756422,0.70675665,0.6001492,0.58220667,0.56160074,0.31816453,-0.32707423,0.4245078,0.37479663,0.38328832,0.41555488,0.40042138,0.38631448,0.32846162,0.2989596,0.22932096,0.17800348,0.096705034,-0.0115437135,-0.076876834,-0.27930456,-0.51040804,0.4920451,0.47950226,0.42450047,0.32608837,0.28030196,0.19622001,0.13032304,0.059341975,0.06634193,-0.047881424,-0.075579636,-0.24624516,-0.23392795,-0.32750413,-0.3205957,-0.38825998,-0.25302622,-0.4172954,-0.47644427,-0.27099764,-0.2543905,-0.23570748,-0.23632225,-0.40893626,-0.4807049,-0.2371402,-0.4026648,-0.27832666,-0.42967236,-0.38274634,-0.48523593,-0.39552817,-0.55678904,-0.52896166,-0.6296288,-0.6791799,-0.7321819,-0.76852834,-0.78593683,-0.82012105,-0.80415094,-0.5429038,-0.837015,-0.8168083,0.20964086,0.069122486,0.090963006,-0.044698473,-0.030725896,-0.23551431,-0.23668666,-0.29085183,-0.4708292,-0.5016527,-0.6035413,-0.6520549,-0.716239,-0.74894595,-0.7665872,-0.77643776,-0.7267293,-0.72815865,-0.4549285,-0.585383,-0.6063245,-0.74636394,-0.744153,0.02363469,-0.043980647,-0.039699033,-0.08821878,-0.08859014,-0.15452129,-0.18043907,-0.197765,-0.2943,-0.3133229,-0.40264294,-0.38044554,-0.5049054,-0.4879769,-0.5680228,-0.48363936,-0.61708146,-0.54292864,-0.42748713,-0.5728904,-0.5373373,0.055313744,-0.044806484,0.01705062,-0.061183266,-0.014273491,-0.19280162,-0.08844626,-0.0971221,-0.18601863,-0.28085178,-0.46941224,-0.49276412,-0.5260557,-0.6506235,-0.63682705,-0.71543485,-0.5368623
32s,0.520707,0.9870757,1.0,0.3864895,0.9784346,0.9946435,0.9794628,0.9954615,0.24409595,0.93611324,0.98606807,0.9592019,0.9822939,0.9615144,0.97290576,0.12305463,0.8918891,0.9274833,0.88263524,0.96704227,0.91963255,0.95163393,0.9157186,0.9138186,-0.04047315,0.7756078,0.83108366,0.7887622,0.8394055,0.77180433,0.89688456,0.80660707,0.8728121,0.76396304,0.79408777,-0.17421223,0.62527937,0.6401279,0.61977404,0.6684231,0.5806429,0.6606688,0.4852521,0.6872332,0.53200114,0.5707158,0.49520555,0.29750568,-0.40556604,0.3622304,0.34629017,0.31056854,0.3805037,0.32197478,0.35082325,0.23783535,0.2591121,0.13858072,0.14449501,0.012782119,-0.040058073,-0.15346476,-0.30834788,-0.5798249,0.52998877,0.5197241,0.4630395,0.36562067,0.31685597,0.23603396,0.16577551,0.097522795,0.103203386,-0.009960778,-0.036204834,-0.20719407,-0.18892975,-0.28483146,-0.2723945,-0.3435951,-0.21694468,-0.3677851,-0.42968017,-0.20973337,-0.19520874,-0.1763404,-0.18198954,-0.3581478,-0.43563524,-0.27847442,-0.42148313,-0.3212865,-0.4499533,-0.42726648,-0.51131153,-0.44131008,-0.5733271,-0.5744146,-0.64351207,-0.7157172,-0.74663085,-0.78860295,-0.7881307,-0.82024103,-0.7889264,-0.57602364,-0.83232087,-0.80850744,0.25763464,0.120567985,0.1418223,0.008103505,0.023143765,-0.1814172,-0.18010904,-0.23639655,-0.4121403,-0.4464722,-0.5459672,-0.59777284,-0.65812075,-0.69546705,-0.70670134,-0.72272116,-0.66582984,-0.6769896,-0.42182538,-0.5139429,-0.54097575,-0.6851777,-0.6912428,0.03225305,-0.037084855,-0.0309859,-0.08184225,-0.07845998,-0.14530124,-0.16617687,-0.18534286,-0.27601248,-0.2920716,-0.37793988,-0.35345337,-0.46997228,-0.44760427,-0.5229512,-0.44398278,-0.5613777,-0.49142805,-0.4095601,-0.52013046,-0.49391338,-0.0057941414,-0.08515209,-0.05042962,-0.09922553,-0.087408565,-0.23753522,-0.16517253,-0.14307784,-0.26937276,-0.33288828,-0.5403826,-0.53266346,-0.5860186,-0.67616326,-0.68356276,-0.73736066,-0.5953206
33o,0.9845606,0.43862787,0.3864895,1.0000001,0.41600037,0.3683184,0.4657168,0.43925112,0.9866662,0.49138436,0.46737057,0.4260084,0.44408175,0.5046403,0.5032356,0.9551565,0.35775793,0.30466422,0.47371244,0.48888275,0.39349312,0.41954982,0.5065573,0.50845903,0.8856642,0.20636442,0.15231463,0.28788033,0.23449028,0.4538432,0.48624057,0.3546421,0.36744076,0.52066016,0.4757288,0.79522836,0.053749654,-0.0063230954,0.09801632,0.042237855,0.1688641,0.21742752,0.35184142,0.2675548,0.21525536,0.21078847,0.34321004,0.08254053,0.5601229,-0.124453016,-0.19104409,-0.097576916,-0.13748008,-0.052765243,-0.12743592,0.032359757,-0.09786955,0.098316014,-0.036007777,-0.020381682,-0.15205014,-0.0051124617,-0.28581038,0.30170748,0.39277285,0.3779271,0.4078709,0.3953239,0.41002163,0.3700023,0.38685656,0.3322744,0.37243465,0.30937538,0.348655,0.23728319,0.2768965,0.21783105,0.23882538,0.20991445,0.30735508,0.19374928,0.14255074,0.21526596,0.22363338,0.22209439,0.20674303,0.19326322,0.15085147,-0.4264592,-0.43182263,-0.4244786,-0.42868897,-0.43450114,-0.3869248,-0.4336768,-0.4612712,-0.45258218,-0.49357012,-0.5141518,-0.54853094,-0.53723294,-0.5799753,-0.6454135,-0.6627219,0.104637764,-0.601633,-0.6102594,-0.24079655,-0.2977212,-0.27976528,-0.3175609,-0.30700445,-0.3635758,-0.35907996,-0.35814875,-0.41557336,-0.4042181,-0.41423497,-0.42384896,-0.39929593,-0.4210688,-0.36860344,-0.39318582,-0.3318231,-0.37590432,0.08142787,-0.26850864,-0.31145927,-0.33977324,-0.38003692,-0.71976894,-0.7250146,-0.7425269,-0.7273549,-0.758762,-0.7453332,-0.7874223,-0.7489933,-0.8127281,-0.7708394,-0.8202625,-0.767189,-0.8011738,-0.7289398,-0.7469168,-0.6877812,-0.5917202,-0.53217167,-0.034456857,-0.69208455,-0.60787255,-0.2774549,-0.28965682,-0.26205695,-0.29516864,-0.25958285,-0.30274856,-0.2523403,-0.24725407,-0.22001308,-0.21332073,-0.31317747,-0.32379067,-0.41309112,-0.5317619,-0.4128908,-0.53228927,0.1985221
42o,0.5357538,0.99686056,0.9784346,0.41600037,1.0000001,0.9841587,0.9954571,0.97265977,0.28407398,0.98454857,0.984368,0.9939035,0.97854173,0.9844966,0.9616445,0.17216203,0.95764154,0.9630861,0.952092,0.97570693,0.97054094,0.9556193,0.95545936,0.90900356,0.018994648,0.86300486,0.8785305,0.87868667,0.89391404,0.8660988,0.9150233,0.8843964,0.8913995,0.8343628,0.79711616,-0.10437927,0.7279263,0.7068006,0.7280807,0.73163444,0.6979057,0.7465716,0.6148259,0.73320436,0.6411234,0.6053414,0.59140605,0.34596032,-0.32364526,0.4787705,0.4267572,0.43944746,0.4676367,0.4561715,0.4385124,0.38369876,0.3506454,0.27990356,0.22030768,0.14594091,0.030307408,-0.03247673,-0.23698826,-0.5006176,0.44937888,0.43564957,0.3785412,0.27573505,0.2310301,0.14383455,0.07866398,0.005397681,0.01394651,-0.10154349,-0.12952565,-0.29995957,-0.2892722,-0.38316727,-0.37631133,-0.44588894,-0.30947015,-0.47669286,-0.53692424,-0.3364356,-0.323049,-0.30091828,-0.30333295,-0.46673927,-0.53949094,-0.18359292,-0.35833138,-0.22478226,-0.3854555,-0.33061388,-0.44262627,-0.34300202,-0.51578104,-0.4800286,-0.5909076,-0.63655454,-0.69486165,-0.7374652,-0.7579458,-0.7968668,-0.78670925,-0.5522327,-0.81965274,-0.7964488,0.21202244,0.07025193,0.0919344,-0.045026526,-0.032373615,-0.23777199,-0.24146405,-0.2959044,-0.47971427,-0.5103083,-0.6160148,-0.6634723,-0.7345726,-0.7657146,-0.7940358,-0.8009582,-0.76184016,-0.7557376,-0.49469876,-0.62819254,-0.64419085,-0.77955323,-0.7715674,0.07143168,0.006044428,0.008302872,-0.038472913,-0.041192073,-0.1064031,-0.13567814,-0.15138982,-0.2528062,-0.2733089,-0.36718404,-0.3457777,-0.47962,-0.4676953,-0.55410254,-0.46585464,-0.623379,-0.5455317,-0.4485515,-0.5671338,-0.5285831,0.11403513,0.010433564,0.077034354,-0.0058906674,0.04753476,-0.13809001,-0.027201228,-0.041614186,-0.12665719,-0.2318131,-0.41735137,-0.4477143,-0.47665524,-0.60913277,-0.5922436,-0.6784753,-0.5301642
42s,0.49983296,0.9874774,0.9946435,0.3683184,0.9841587,1.0000001,0.9804285,0.989143,0.22759575,0.94896066,0.9920499,0.9694808,0.99042434,0.9619976,0.9697251,0.11064839,0.9206165,0.95663327,0.9046077,0.97749096,0.93886596,0.9660726,0.9226578,0.92046803,-0.047153242,0.820942,0.8752907,0.83105284,0.8820507,0.8054481,0.9190488,0.839238,0.8984115,0.78307575,0.8100267,-0.17731228,0.6851215,0.70386,0.6785075,0.72951084,0.6396351,0.7177267,0.53642994,0.7318225,0.5793873,0.6118758,0.5349273,0.34813327,-0.40051702,0.43673,0.4244255,0.38585573,0.45731318,0.39524588,0.42814133,0.30936328,0.33225635,0.20528935,0.20479654,0.06906392,0.019399412,-0.09957369,-0.24739482,-0.5743389,0.45823118,0.44657654,0.38971737,0.2898756,0.24334136,0.15987559,0.09305083,0.022235205,0.031497378,-0.082998164,-0.10296832,-0.27438322,-0.24981716,-0.34677815,-0.32788762,-0.40148106,-0.28309718,-0.41698512,-0.48060578,-0.27035278,-0.26079074,-0.23880431,-0.24917649,-0.40820962,-0.48745853,-0.20432115,-0.35310653,-0.2474266,-0.38143378,-0.35586947,-0.44576788,-0.37048447,-0.51205045,-0.5090459,-0.5855474,-0.65870816,-0.694433,-0.7431123,-0.7462619,-0.7864736,-0.7577601,-0.59217924,-0.8008051,-0.7755497,0.20949514,0.07336689,0.09158844,-0.040158607,-0.029353522,-0.2283529,-0.23273051,-0.28599226,-0.46134657,-0.49135575,-0.59161276,-0.6367339,-0.69999206,-0.7310914,-0.74710697,-0.75902224,-0.7064585,-0.712724,-0.47984514,-0.5707481,-0.5950794,-0.72619116,-0.72775424,0.070859216,0.0062539307,0.007202123,-0.039406378,-0.042089872,-0.105234176,-0.13394324,-0.14797911,-0.24816367,-0.2632888,-0.35688663,-0.33194166,-0.46069267,-0.44115013,-0.525004,-0.439327,-0.582367,-0.5089235,-0.4565162,-0.52887285,-0.49819234,0.07376001,-0.0037478227,0.029252738,-0.018971486,-0.0078858845,-0.16137743,-0.087603964,-0.06630357,-0.19614184,-0.26518115,-0.47514543,-0.47438902,-0.52839124,-0.62553954,-0.6281638,-0.69077104,-0.5973467
43o,0.5808037,0.9975937,0.9794628,0.4657168,0.9954571,0.9804285,1.0,0.981085,0.33677465,0.98293626,0.9855272,0.99157304,0.98238075,0.99490935,0.9775856,0.2261077,0.9408381,0.9459258,0.94882613,0.9795805,0.96628195,0.96151865,0.9697748,0.93190867,0.072195746,0.83105385,0.84857756,0.85513836,0.8718009,0.8620063,0.9228017,0.879463,0.8983202,0.85584986,0.82639724,-0.051971458,0.6827126,0.6619136,0.6884517,0.6929728,0.66808677,0.7251304,0.609699,0.7284212,0.6354747,0.6158879,0.6080421,0.35952607,-0.2775225,0.42252752,0.3714397,0.3876807,0.41806388,0.41050774,0.3922764,0.35104606,0.31790864,0.26431876,0.2125107,0.14221323,0.029864581,-0.023402587,-0.23955736,-0.46335992,0.47773454,0.46654257,0.4110354,0.31594628,0.26814023,0.18797196,0.11955453,0.05202308,0.055836078,-0.054229315,-0.085823685,-0.25191513,-0.24658151,-0.33603534,-0.3357562,-0.3984813,-0.25685498,-0.4346718,-0.48877752,-0.2947827,-0.27456933,-0.25810993,-0.25295162,-0.4267436,-0.49150857,-0.24945626,-0.4122759,-0.28803045,-0.43760556,-0.3894247,-0.48699948,-0.39838123,-0.5574214,-0.5273883,-0.6304453,-0.6774313,-0.7289729,-0.770992,-0.78202575,-0.82204384,-0.80533206,-0.51306784,-0.8410743,-0.81484926,0.18869878,0.051520877,0.070186935,-0.059895687,-0.051175192,-0.2486765,-0.2561038,-0.30345356,-0.4895333,-0.51262164,-0.6210133,-0.66174483,-0.73228765,-0.7591749,-0.78450143,-0.78965616,-0.7482973,-0.74086803,-0.45555368,-0.6114899,-0.62587464,-0.7668482,-0.75721776,-0.0026527317,-0.06400854,-0.06454019,-0.10615001,-0.11259804,-0.17110974,-0.20383592,-0.21278076,-0.31581673,-0.32789353,-0.42311403,-0.39409503,-0.5243845,-0.50184536,-0.58600926,-0.4945191,-0.63355625,-0.5524339,-0.41963735,-0.590538,-0.54470825,0.05076103,-0.04644172,0.017749649,-0.05944726,-0.009026304,-0.18475203,-0.07703413,-0.08280854,-0.1646821,-0.25776392,-0.44515294,-0.4652719,-0.49279153,-0.6263586,-0.60611844,-0.69243395,-0.4943028
43s,0.56596047,0.9836337,0.9954615,0.43925112,0.97265977,0.989143,0.981085,0.99999994,0.30256662,0.93588614,0.9871538,0.958679,0.98867935,0.9707487,0.9892847,0.18537048,0.8797392,0.91608083,0.88413703,0.9747551,0.9203729,0.9638671,0.93274105,0.9418839,0.025538413,0.75183004,0.81019753,0.7738071,0.82930684,0.7759591,0.91376895,0.81285447,0.8912836,0.79441404,0.8335434,-0.10515882,0.59234506,0.6112189,0.59257513,0.6460041,0.5649914,0.65946376,0.4954805,0.69935703,0.5430136,0.60068893,0.5288422,0.33350244,-0.33734182,0.3222875,0.31269637,0.27610734,0.35272586,0.29345044,0.32734022,0.22391316,0.24948202,0.1424082,0.15939975,0.02770085,-0.013548132,-0.12061517,-0.28257,-0.51956147,0.5283546,0.5220166,0.46452433,0.37486923,0.32145846,0.24918683,0.17364201,0.11240931,0.11229713,0.006655066,-0.024278011,-0.18820313,-0.17729075,-0.2666515,-0.26194927,-0.32433322,-0.18733016,-0.35450602,-0.40804258,-0.20419453,-0.18302843,-0.17043011,-0.16752617,-0.34719443,-0.41374,-0.32350764,-0.45428923,-0.36315003,-0.48052648,-0.4647119,-0.53497195,-0.47558117,-0.5949146,-0.60160035,-0.6632883,-0.7373701,-0.7599831,-0.806022,-0.79481786,-0.83157474,-0.7936696,-0.5280166,-0.8399056,-0.81036294,0.22687685,0.09634775,0.11204639,-0.012229633,-0.0047252793,-0.19739974,-0.2045292,-0.2508651,-0.43266776,-0.4560745,-0.56247175,-0.6033009,-0.6685292,-0.6980172,-0.71284944,-0.7230344,-0.6704624,-0.6737835,-0.3958097,-0.5237323,-0.5432977,-0.6899519,-0.6889473,-0.02555869,-0.086398244,-0.08670657,-0.12779012,-0.13257375,-0.18824767,-0.21757923,-0.22487894,-0.32270548,-0.32649723,-0.41905582,-0.38337058,-0.5032914,-0.4688412,-0.5477263,-0.4596571,-0.57265806,-0.4940025,-0.38324758,-0.53901124,-0.49969232,-0.048459053,-0.11753927,-0.08828987,-0.12799658,-0.12118302,-0.25999177,-0.19257678,-0.1591191,-0.28521717,-0.33667347,-0.5459883,-0.5264183,-0.57936513,-0.67059314,-0.6701136,-0.72809434,-0.5399182
44o,0.9443311,0.30409276,0.24409595,0.9866662,0.28407398,0.22759575,0.33677465,0.30256662,0.99999994,0.37376082,0.33318824,0.30338997,0.3133949,0.384386,0.37992364,0.9899556,0.24268736,0.18053216,0.36956263,0.36351478,0.28135738,0.29906747,0.40115926,0.40109453,0.9473987,0.10497903,0.038623225,0.1909109,0.12802666,0.3717409,0.37810662,0.26788235,0.2653896,0.45018816,0.3923053,0.8766851,-0.030045614,-0.09632966,0.020071834,-0.046929058,0.105775476,0.14823177,0.32091403,0.19357675,0.17754847,0.16034843,0.31714353,0.074264236,0.6730339,-0.17635971,-0.24244197,-0.1359236,-0.18785049,-0.08666774,-0.16992909,0.021918155,-0.1158105,0.11294954,-0.027225673,0.019703917,-0.11381073,0.061934598,-0.21279415,0.43172488,0.30668545,0.2958808,0.33112285,0.33568278,0.35346285,0.32966805,0.35088906,0.3108533,0.344684,0.30244341,0.33954334,0.25695592,0.2851918,0.24473879,0.25579047,0.24376082,0.3433844,0.22265497,0.1867949,0.21540943,0.22704715,0.22092205,0.21404381,0.21989448,0.1972259,-0.40527427,-0.39012334,-0.39494342,-0.38102907,-0.38710126,-0.32493585,-0.3812439,-0.39061442,-0.378218,-0.41450146,-0.420304,-0.45218202,-0.43904257,-0.47978488,-0.5431148,-0.56418824,0.20924014,-0.4962333,-0.50528336,-0.29932034,-0.33327374,-0.32301593,-0.3357216,-0.33464226,-0.35449755,-0.35927808,-0.3417302,-0.38484952,-0.35883602,-0.36534894,-0.35783705,-0.3351258,-0.34332934,-0.29955667,-0.31397116,-0.27044722,-0.30010715,0.14690576,-0.23190463,-0.26175374,-0.2753644,-0.30360475,-0.7456474,-0.73407936,-0.7581129,-0.72734916,-0.7669407,-0.7348562,-0.7830486,-0.73105663,-0.79185945,-0.7383084,-0.78469527,-0.7255068,-0.75281835,-0.6762068,-0.6911022,-0.6319457,-0.531016,-0.46995556,0.04148904,-0.6366687,-0.5427497,-0.2841724,-0.2839499,-0.2574762,-0.2846834,-0.24514744,-0.26749182,-0.22153035,-0.21809794,-0.1651075,-0.15053988,-0.22023502,-0.23450059,-0.30757183,-0.4268061,-0.29764864,-0.41902226,0.3228105
52o,0.5905016,0.97607046,0.93611324,0.49138436,0.98454857,0.94896066,0.98293626,0.93588614,0.37376082,1.0,0.9647561,0.9918937,0.95737314,0.98250115,0.94010913,0.2739132,0.9784829,0.96046925,0.98850507,0.9703294,0.9844766,0.94680774,0.9721905,0.9087926,0.12834081,0.89854586,0.88563085,0.923477,0.9122753,0.93349457,0.93433267,0.9285861,0.90161836,0.8941418,0.8212534,0.0088885315,0.7738132,0.73195416,0.7847478,0.75920886,0.77432126,0.8058619,0.7273499,0.78341544,0.72530043,0.65620995,0.6866247,0.41999006,-0.21207657,0.54170084,0.47171453,0.51823485,0.52132076,0.5433901,0.4984031,0.4967467,0.43130377,0.41135746,0.31553558,0.26993316,0.118310735,0.09575397,-0.15175644,-0.40726775,0.39158452,0.37108052,0.32639965,0.22488472,0.1924397,0.09939653,0.05056136,-0.030622367,-0.011194866,-0.12990528,-0.14660297,-0.32080022,-0.30589086,-0.40237793,-0.3931166,-0.46611577,-0.34951663,-0.5012578,-0.56639105,-0.38036475,-0.3721546,-0.34686857,-0.35470438,-0.48889163,-0.5642682,-0.12250255,-0.2970953,-0.15815853,-0.3207081,-0.25757337,-0.36393303,-0.26384422,-0.44571155,-0.39675504,-0.526208,-0.5664282,-0.6404585,-0.6921574,-0.7221098,-0.7856057,-0.79011756,-0.5206825,-0.8163045,-0.78742087,0.114650294,-0.026295012,-0.0027227104,-0.13479859,-0.12293401,-0.3176442,-0.32278717,-0.37158522,-0.54870874,-0.5728485,-0.672555,-0.71410567,-0.78221554,-0.80973357,-0.8428335,-0.849786,-0.82144713,-0.81190526,-0.53848517,-0.7055555,-0.7229625,-0.8353836,-0.82571757,0.0048037656,-0.05230079,-0.05670394,-0.094649315,-0.10653463,-0.16309516,-0.20351882,-0.20910287,-0.32042643,-0.33793458,-0.43748876,-0.4143685,-0.5566099,-0.5466119,-0.6364026,-0.54307425,-0.7083963,-0.6277225,-0.49073556,-0.6546789,-0.60360086,0.19038536,0.08728361,0.16483209,0.07364954,0.1427989,-0.043789823,0.080204025,0.058030613,-0.0027526245,-0.112945914,-0.29807064,-0.343774,-0.37554792,-0.5417589,-0.50562644,-0.6208866,-0.45951495
52s,0.5889099,0.98804826,0.98606807,0.46737057,0.984368,0.9920499,0.9855272,0.9871538,0.33318824,0.9647561,1.0000001,0.97469646,0.99350077,0.97391653,0.9783653,0.21978939,0.92722565,0.95412725,0.9256275,0.9921921,0.94682246,0.9721577,0.940917,0.93782616,0.06327452,0.8216234,0.86573124,0.840817,0.8831103,0.8358192,0.94392604,0.85595673,0.9074197,0.81850094,0.83401805,-0.07001348,0.68058896,0.6934556,0.68037844,0.72289956,0.6538073,0.7331299,0.5770832,0.7518338,0.6006385,0.62684363,0.57191026,0.3650367,-0.30805215,0.43034345,0.4125196,0.3864305,0.4509825,0.4005466,0.42450532,0.33081627,0.33645168,0.23913631,0.2233766,0.09269046,0.028284943,-0.066443145,-0.24088648,-0.5050944,0.45370615,0.4395662,0.3897857,0.29182693,0.2519188,0.16552411,0.1072045,0.030383635,0.04762645,-0.07031698,-0.08062821,-0.25779217,-0.22536893,-0.32602522,-0.30098763,-0.3760473,-0.25373372,-0.38658074,-0.45571437,-0.25026214,-0.2434729,-0.21996051,-0.23465392,-0.3788944,-0.46128318,-0.21197091,-0.35593608,-0.25236008,-0.38263753,-0.35800546,-0.43900067,-0.37093362,-0.5130884,-0.5065242,-0.58766264,-0.6616282,-0.7009675,-0.75001764,-0.75724494,-0.8094056,-0.7865327,-0.5579279,-0.82031244,-0.79653096,0.15459716,0.017607663,0.037541322,-0.09280693,-0.08107288,-0.27646443,-0.28022933,-0.33059388,-0.5016946,-0.5283556,-0.6224247,-0.66505486,-0.7206576,-0.7518059,-0.76061183,-0.7747521,-0.71774924,-0.7298231,-0.46130872,-0.5862806,-0.61577517,-0.73754174,-0.7448467,-0.01268043,-0.07367274,-0.07566441,-0.117978,-0.12483162,-0.18345152,-0.21679203,-0.22505943,-0.32940912,-0.3398367,-0.43521687,-0.40682894,-0.5347163,-0.5093253,-0.59116864,-0.50391763,-0.6296394,-0.554167,-0.45309132,-0.5895814,-0.55049634,0.07200236,9.202398e-05,0.032434568,-0.015286431,-0.0018243436,-0.15363239,-0.076650746,-0.055367764,-0.17681065,-0.24255565,-0.45649675,-0.45601562,-0.52121085,-0.63151693,-0.61973125,-0.6967944,-0.54291946
53o,0.5347411,0.9862297,0.9592019,0.4260084,0.9939035,0.9694808,0.99157304,0.958679,0.30338997,0.9918937,0.97469646,0.99999994,0.9745763,0.9897137,0.96087265,0.19995776,0.9694449,0.9690249,0.9737682,0.9783285,0.9900297,0.9667265,0.97762233,0.92674375,0.05496299,0.8834757,0.8931127,0.9053688,0.91815764,0.90497047,0.93604803,0.92733216,0.9220589,0.8854734,0.8347943,-0.060886655,0.7543066,0.7313122,0.7615181,0.7608616,0.7448899,0.7973446,0.68264097,0.78284585,0.7145611,0.6699038,0.67153955,0.42569536,-0.268352,0.51130915,0.46102306,0.4813497,0.5097411,0.5054538,0.48586527,0.44876918,0.41596967,0.35998937,0.30164766,0.24164934,0.11991112,0.069334984,-0.14839424,-0.4441933,0.40097082,0.38895684,0.32969427,0.2304157,0.18329161,0.10141182,0.03234506,-0.035712168,-0.031873114,-0.1405403,-0.17418653,-0.3359266,-0.33554673,-0.42260057,-0.42480654,-0.48734584,-0.34283414,-0.52834845,-0.5807263,-0.4020396,-0.3849241,-0.36282045,-0.35743314,-0.5183151,-0.5804981,-0.16578774,-0.3396694,-0.2033394,-0.36440548,-0.30606997,-0.41474107,-0.31229457,-0.48571977,-0.44561452,-0.56323946,-0.6062926,-0.66476554,-0.7214185,-0.7322832,-0.78139657,-0.7702615,-0.5314402,-0.80920863,-0.7763457,0.18204202,0.046994407,0.062285643,-0.06454125,-0.062185977,-0.25363767,-0.269931,-0.31242746,-0.50685173,-0.5238233,-0.64207584,-0.67496485,-0.7606806,-0.77982616,-0.8269694,-0.8233534,-0.80405825,-0.7778618,-0.51432675,-0.6815469,-0.6844349,-0.8193217,-0.79446656,0.070544586,0.015989268,0.010115471,-0.02542992,-0.03817623,-0.09175271,-0.13256782,-0.13486572,-0.24821308,-0.25931737,-0.36388817,-0.33329228,-0.4806553,-0.46299827,-0.5589363,-0.458465,-0.6378982,-0.54845667,-0.4469011,-0.57579994,-0.5214561,0.14494419,0.04666329,0.115662664,0.03578177,0.09326558,-0.08911155,0.02699825,0.017681492,-0.060068715,-0.16477583,-0.35106415,-0.3803581,-0.3974228,-0.545721,-0.5222923,-0.62046665,-0.4827436
